scenario,early,late,mean_pred
ssp119,2015,2025,0.4886834
ssp119,2015,2035,0.5901369
ssp119,2015,2045,0.48756433
ssp119,2015,2055,0.7387783
ssp119,2015,2065,0.45976654
ssp119,2015,2075,0.5572177
ssp119,2015,2085,0.47851735
ssp119,2025,2035,0.54101074
ssp119,2025,2045,0.49527228
ssp119,2025,2055,0.4851929
ssp119,2025,2065,0.54507357
ssp119,2025,2075,0.51952547
ssp119,2025,2085,0.5249686
ssp119,2035,2045,0.5268519
ssp119,2035,2055,0.51262546
ssp119,2035,2065,0.4718449
ssp119,2035,2075,0.5600689
ssp119,2035,2085,0.6001131
ssp119,2045,2055,0.53058505
ssp119,2045,2065,0.533934
ssp119,2045,2075,0.42303672
ssp119,2045,2085,0.4399454
ssp119,2055,2065,0.5069522
ssp119,2055,2075,0.53604734
ssp119,2055,2085,0.5699222
ssp119,2065,2075,0.5225053
ssp119,2065,2085,0.5684053
ssp126,2015,2025,0.34703144
ssp126,2015,2035,0.525002
ssp126,2015,2045,0.51753294
ssp126,2015,2055,0.5382934
ssp126,2015,2065,0.4999954
ssp126,2015,2075,0.7069116
ssp126,2015,2085,0.500004
ssp126,2025,2035,0.46201926
ssp126,2025,2045,0.44257224
ssp126,2025,2055,0.53343564
ssp126,2025,2065,0.5156459
ssp126,2025,2075,0.6921185
ssp126,2025,2085,0.53404653
ssp126,2035,2045,0.61652523
ssp126,2035,2055,0.45390943
ssp126,2035,2065,0.5272561
ssp126,2035,2075,0.50570446
ssp126,2035,2085,0.5413373
ssp126,2045,2055,0.526281
ssp126,2045,2065,0.56671995
ssp126,2045,2075,0.47911152
ssp126,2045,2085,0.4352194
ssp126,2055,2065,0.5742316
ssp126,2055,2075,0.5087027
ssp126,2055,2085,0.35889158
ssp126,2065,2075,0.43316585
ssp126,2065,2085,0.5309777
