scenario,early_yr,late_yr,mean_pred,accuracy,test_indices
ssp119,2015,2025,0.49060073,0.92,"301, 1, 78, 24, 271, 280, 436, 477, 311, 323, 132, 120, 435, 293, 76, 168, 320, 80, 429, 133, 367, 180, 294, 209, 250, 35, 53, 473, 95, 198, 485, 487, 453, 303, 394, 42, 374, 28, 378, 200, 316, 431, 488, 437, 263, 499, 7, 19, 211, 102"
ssp119,2015,2035,0.43160203,0.92,"35, 33, 168, 313, 385, 31, 16, 377, 172, 176, 479, 165, 258, 12, 391, 178, 413, 199, 103, 50, 262, 417, 241, 51, 380, 227, 322, 281, 203, 171, 201, 232, 296, 181, 431, 98, 375, 245, 149, 160, 184, 423, 254, 407, 444, 215, 222, 174, 248, 137"
ssp119,2015,2045,0.53609896,0.96,"316, 155, 99, 28, 83, 389, 459, 118, 499, 482, 420, 47, 465, 234, 131, 310, 34, 231, 409, 362, 372, 137, 496, 40, 2, 490, 386, 212, 201, 311, 132, 263, 257, 359, 375, 94, 188, 179, 492, 150, 437, 294, 114, 424, 488, 39, 123, 232, 53, 303"
ssp119,2015,2055,0.483122,0.98,"476, 108, 272, 14, 119, 293, 494, 411, 215, 480, 209, 417, 318, 97, 458, 267, 451, 471, 63, 358, 71, 130, 310, 29, 340, 230, 258, 166, 422, 419, 59, 150, 400, 205, 327, 55, 356, 226, 357, 320, 427, 184, 162, 478, 364, 324, 187, 403, 200, 442"
ssp119,2015,2065,0.48178482,0.98,"348, 496, 440, 325, 298, 385, 4, 476, 272, 301, 310, 374, 384, 428, 415, 416, 116, 283, 358, 368, 147, 387, 121, 371, 248, 170, 46, 347, 103, 200, 164, 123, 61, 382, 180, 167, 101, 497, 410, 245, 253, 422, 288, 97, 24, 183, 431, 361, 181, 423"
ssp119,2015,2075,0.5235602,0.84,"284, 312, 463, 270, 430, 126, 98, 83, 498, 0, 483, 414, 319, 91, 473, 493, 396, 277, 180, 304, 379, 370, 426, 100, 257, 109, 353, 289, 166, 367, 305, 123, 316, 406, 249, 243, 318, 397, 170, 467, 293, 145, 169, 441, 437, 3, 240, 122, 222, 110"
ssp119,2015,2085,0.5009577,1.0,"498, 266, 89, 389, 328, 81, 286, 153, 235, 3, 442, 356, 23, 330, 164, 338, 484, 111, 21, 321, 137, 378, 87, 171, 494, 148, 462, 48, 150, 192, 313, 118, 362, 265, 384, 303, 38, 475, 424, 189, 433, 319, 0, 200, 175, 168, 246, 35, 187, 6"
ssp119,2025,2035,0.5006034,0.84,"75, 138, 131, 430, 120, 409, 372, 445, 368, 29, 30, 91, 380, 392, 32, 302, 90, 359, 109, 336, 242, 470, 286, 192, 209, 37, 110, 310, 20, 73, 274, 154, 177, 122, 308, 471, 96, 108, 462, 170, 124, 482, 486, 394, 189, 334, 494, 14, 264, 314"
ssp119,2025,2045,0.47517982,0.94,"250, 170, 78, 176, 287, 130, 270, 498, 300, 358, 329, 477, 339, 133, 435, 47, 236, 207, 427, 351, 376, 91, 195, 41, 158, 160, 463, 497, 387, 469, 14, 49, 229, 150, 457, 316, 447, 336, 18, 328, 192, 24, 117, 418, 491, 255, 177, 419, 201, 321"
ssp119,2025,2055,0.4931766,0.96,"357, 227, 329, 88, 155, 424, 448, 402, 49, 204, 352, 475, 346, 152, 342, 354, 38, 300, 399, 432, 404, 412, 293, 299, 473, 269, 476, 444, 410, 153, 274, 78, 250, 179, 182, 426, 134, 374, 237, 253, 297, 135, 181, 130, 2, 239, 368, 450, 243, 430"
ssp119,2025,2065,0.50722325,0.98,"137, 204, 483, 198, 461, 155, 131, 182, 213, 105, 187, 218, 466, 175, 417, 129, 453, 312, 59, 42, 154, 370, 331, 303, 72, 46, 168, 109, 67, 201, 444, 306, 411, 485, 267, 446, 362, 61, 143, 272, 416, 126, 289, 328, 325, 40, 292, 63, 172, 392"
ssp119,2025,2075,0.50552315,1.0,"69, 80, 374, 449, 207, 109, 194, 193, 304, 20, 447, 198, 415, 481, 392, 276, 195, 202, 148, 401, 442, 492, 346, 31, 269, 486, 371, 119, 436, 273, 164, 179, 470, 339, 232, 24, 212, 425, 295, 25, 479, 236, 219, 96, 445, 162, 372, 497, 499, 306"
ssp119,2025,2085,0.4833982,0.9,"430, 216, 223, 241, 412, 243, 254, 338, 24, 62, 165, 436, 484, 159, 170, 393, 186, 363, 103, 303, 307, 1, 385, 256, 42, 458, 237, 400, 380, 276, 252, 313, 382, 258, 207, 219, 74, 142, 72, 453, 246, 105, 283, 267, 8, 67, 357, 185, 129, 407"
ssp119,2035,2045,0.4498923,0.56,"139, 483, 255, 422, 374, 388, 294, 165, 125, 407, 237, 476, 335, 447, 66, 75, 235, 191, 30, 118, 471, 277, 171, 378, 60, 456, 305, 0, 299, 110, 273, 65, 301, 124, 41, 193, 439, 145, 18, 183, 85, 435, 343, 167, 106, 97, 302, 436, 140, 268"
ssp119,2035,2055,0.5373475,0.54,"310, 296, 319, 265, 324, 279, 254, 149, 209, 94, 450, 396, 131, 438, 323, 398, 460, 395, 325, 285, 60, 295, 256, 133, 75, 246, 344, 145, 51, 223, 56, 350, 416, 71, 11, 487, 482, 1, 495, 425, 102, 45, 267, 230, 77, 317, 434, 214, 5, 371"
ssp119,2035,2065,0.4972803,0.84,"468, 390, 266, 335, 474, 306, 83, 195, 19, 449, 67, 109, 271, 226, 398, 185, 196, 435, 415, 358, 312, 338, 379, 10, 249, 64, 429, 127, 490, 375, 225, 298, 138, 425, 228, 409, 356, 133, 50, 139, 6, 41, 167, 291, 339, 267, 380, 258, 450, 410"
