scenario,early_yr,late_yr,mean_pred,accuracy,test_indices
ssp119,2015,2025,0.47789183,0.9,"485, 23, 40, 246, 388, 403, 483, 493, 389, 264, 490, 209, 431, 171, 286, 53, 188, 309, 18, 476, 418, 44, 496, 200, 374, 220, 454, 194, 111, 9, 294, 30, 216, 276, 116, 282, 140, 120, 491, 235, 152, 174, 241, 268, 160, 205, 105, 181, 230, 37"
ssp119,2015,2035,0.49295285,0.8,"186, 148, 187, 13, 290, 483, 393, 433, 456, 165, 124, 149, 491, 488, 327, 485, 138, 16, 307, 190, 239, 457, 340, 379, 83, 407, 355, 459, 418, 119, 258, 329, 495, 113, 34, 44, 447, 402, 438, 315, 55, 309, 493, 281, 295, 280, 39, 464, 282, 45"
ssp119,2015,2045,0.45533764,0.9,"297, 140, 259, 341, 114, 405, 361, 4, 193, 30, 282, 394, 410, 252, 230, 470, 426, 63, 415, 268, 358, 474, 173, 351, 163, 24, 264, 126, 5, 397, 203, 154, 165, 138, 379, 92, 246, 275, 356, 299, 305, 236, 402, 404, 247, 463, 131, 434, 130, 39"
ssp119,2015,2055,0.580747,0.78,"246, 92, 112, 353, 156, 434, 73, 89, 371, 431, 251, 163, 126, 54, 404, 214, 191, 280, 322, 173, 218, 211, 233, 476, 276, 417, 46, 165, 407, 85, 35, 261, 426, 292, 262, 170, 278, 127, 164, 115, 13, 378, 134, 26, 44, 441, 438, 388, 337, 57"
ssp119,2015,2065,0.6333413,0.52,"89, 74, 19, 471, 75, 459, 204, 390, 5, 349, 21, 154, 314, 319, 135, 298, 181, 2, 83, 432, 353, 224, 327, 6, 219, 285, 234, 361, 60, 401, 194, 248, 454, 180, 78, 332, 195, 191, 251, 220, 86, 16, 213, 374, 222, 98, 210, 73, 49, 201"
ssp119,2015,2075,0.49209222,1.0,"442, 64, 261, 397, 371, 489, 325, 458, 35, 93, 118, 63, 399, 131, 328, 309, 160, 133, 246, 284, 27, 298, 318, 262, 36, 272, 408, 429, 104, 452, 135, 349, 280, 289, 37, 426, 28, 126, 357, 473, 214, 173, 282, 360, 366, 367, 427, 2, 107, 459"
ssp119,2015,2085,0.6554111,0.72,"148, 263, 151, 141, 168, 103, 108, 216, 140, 0, 278, 323, 251, 346, 109, 229, 427, 486, 491, 280, 199, 324, 273, 45, 492, 89, 365, 406, 293, 302, 86, 370, 351, 138, 322, 159, 445, 455, 408, 328, 71, 376, 463, 41, 252, 223, 261, 29, 344, 76"
ssp119,2025,2035,0.52177507,0.56,"187, 499, 242, 105, 260, 36, 62, 330, 30, 398, 284, 60, 359, 56, 455, 118, 137, 72, 288, 227, 456, 309, 323, 244, 490, 494, 201, 212, 111, 170, 482, 399, 99, 408, 445, 344, 426, 71, 107, 48, 112, 230, 349, 474, 442, 361, 165, 271, 167, 235"
ssp119,2025,2045,0.41342732,0.72,"247, 49, 385, 324, 84, 388, 306, 141, 348, 389, 353, 481, 451, 253, 83, 487, 366, 283, 307, 195, 400, 235, 356, 71, 300, 450, 139, 475, 204, 362, 147, 184, 68, 148, 409, 8, 446, 161, 124, 229, 337, 77, 293, 175, 125, 333, 237, 424, 58, 423"
ssp119,2025,2055,0.5614845,0.72,"393, 381, 31, 135, 233, 488, 311, 181, 169, 115, 78, 477, 364, 235, 159, 403, 298, 431, 425, 273, 390, 422, 424, 249, 132, 238, 368, 41, 261, 282, 87, 192, 160, 499, 417, 415, 148, 209, 248, 478, 28, 246, 170, 391, 375, 453, 420, 222, 27, 293"
ssp119,2025,2065,0.48083782,0.92,"270, 98, 155, 278, 354, 406, 399, 26, 405, 102, 154, 170, 88, 94, 284, 466, 227, 214, 199, 35, 7, 490, 173, 83, 389, 71, 367, 410, 454, 141, 401, 203, 17, 461, 226, 73, 442, 135, 348, 309, 146, 201, 58, 415, 356, 46, 324, 393, 313, 144"
ssp119,2025,2075,0.4959755,0.94,"222, 101, 9, 396, 468, 196, 492, 125, 372, 108, 403, 11, 109, 116, 247, 438, 237, 225, 136, 183, 262, 181, 377, 265, 252, 367, 83, 233, 28, 121, 499, 466, 288, 348, 75, 469, 354, 244, 349, 309, 360, 208, 132, 89, 70, 92, 1, 272, 218, 153"
ssp119,2025,2085,0.4978347,0.96,"365, 472, 310, 54, 210, 102, 389, 469, 280, 161, 126, 232, 127, 427, 386, 369, 480, 276, 468, 59, 387, 333, 223, 402, 132, 11, 19, 304, 60, 495, 442, 12, 258, 137, 134, 465, 230, 76, 320, 455, 144, 218, 352, 421, 256, 452, 318, 196, 449, 367"
ssp119,2035,2045,0.50640017,0.6,"494, 209, 206, 70, 381, 481, 429, 80, 193, 195, 270, 482, 222, 166, 87, 456, 409, 230, 406, 428, 239, 138, 236, 360, 186, 498, 145, 327, 326, 304, 432, 303, 337, 460, 470, 151, 130, 392, 467, 489, 197, 132, 311, 23, 436, 243, 354, 122, 367, 388"
ssp119,2035,2055,0.55616283,0.5,"328, 141, 351, 231, 429, 104, 462, 253, 148, 436, 479, 54, 359, 22, 119, 38, 273, 1, 419, 279, 478, 48, 242, 345, 135, 252, 375, 4, 99, 233, 388, 94, 115, 37, 426, 45, 316, 79, 486, 164, 395, 177, 150, 399, 487, 113, 266, 496, 454, 34"
ssp119,2035,2065,0.49241975,0.88,"174, 483, 163, 70, 312, 93, 175, 452, 150, 367, 101, 47, 300, 239, 429, 327, 395, 111, 8, 204, 126, 380, 489, 249, 189, 454, 140, 78, 437, 67, 404, 264, 133, 439, 453, 185, 276, 386, 443, 131, 462, 400, 287, 307, 165, 102, 206, 481, 301, 425"
ssp119,2035,2075,0.5324423,0.94,"499, 396, 401, 225, 482, 236, 349, 229, 399, 145, 218, 160, 91, 146, 204, 90, 323, 406, 257, 273, 266, 260, 95, 474, 433, 192, 262, 299, 442, 213, 180, 178, 15, 20, 466, 94, 211, 45, 100, 85, 202, 58, 314, 376, 221, 243, 411, 40, 89, 196"
ssp119,2035,2085,0.5111364,0.88,"95, 338, 221, 393, 230, 138, 184, 284, 496, 283, 285, 65, 94, 187, 252, 26, 76, 229, 160, 374, 466, 130, 409, 88, 234, 417, 140, 114, 300, 108, 326, 170, 376, 485, 249, 403, 142, 178, 272, 395, 490, 112, 164, 157, 232, 215, 12, 303, 426, 146"
ssp119,2045,2055,0.5436953,0.5,"351, 147, 200, 299, 179, 195, 164, 248, 184, 191, 122, 398, 381, 470, 140, 81, 427, 403, 411, 37, 211, 437, 259, 2, 338, 482, 396, 314, 52, 216, 321, 181, 440, 393, 442, 48, 60, 298, 325, 61, 340, 234, 467, 327, 441, 364, 392, 175, 201, 262"
ssp119,2045,2065,0.50710523,0.62,"125, 372, 362, 65, 474, 40, 413, 77, 498, 257, 22, 138, 151, 174, 393, 497, 13, 127, 192, 130, 453, 175, 55, 236, 86, 104, 241, 21, 313, 71, 109, 485, 215, 118, 469, 62, 359, 249, 335, 245, 341, 154, 160, 488, 42, 270, 47, 136, 119, 214"
ssp119,2045,2075,0.48885506,0.84,"344, 368, 25, 468, 77, 138, 270, 132, 119, 14, 448, 256, 42, 82, 341, 207, 212, 118, 46, 242, 347, 295, 167, 294, 251, 289, 107, 284, 89, 223, 154, 350, 176, 34, 161, 21, 385, 348, 170, 94, 482, 464, 105, 137, 473, 175, 18, 454, 403, 115"
ssp119,2045,2085,0.53854203,0.7,"361, 366, 204, 463, 222, 111, 133, 5, 443, 427, 381, 178, 56, 101, 430, 493, 118, 237, 435, 375, 70, 296, 494, 200, 277, 357, 185, 220, 388, 138, 82, 234, 165, 382, 208, 259, 243, 363, 49, 120, 249, 199, 125, 149, 62, 450, 284, 134, 228, 387"
ssp119,2055,2065,0.5518173,0.6,"467, 491, 352, 168, 241, 120, 357, 193, 254, 317, 113, 210, 205, 223, 50, 373, 70, 192, 311, 55, 447, 214, 228, 232, 347, 386, 183, 180, 80, 181, 100, 479, 191, 294, 421, 327, 237, 194, 38, 451, 104, 16, 248, 353, 457, 332, 340, 93, 341, 218"
ssp119,2055,2075,0.4794159,0.6,"110, 499, 229, 224, 133, 158, 246, 436, 204, 377, 353, 220, 351, 21, 240, 112, 313, 16, 440, 423, 369, 156, 81, 491, 181, 153, 391, 243, 497, 385, 38, 170, 239, 197, 467, 126, 45, 376, 142, 327, 186, 478, 155, 374, 15, 480, 70, 207, 135, 476"
ssp119,2055,2085,0.57942003,0.76,"153, 407, 165, 69, 20, 83, 332, 251, 18, 373, 299, 370, 485, 137, 201, 14, 193, 428, 190, 397, 494, 374, 61, 257, 25, 327, 413, 92, 183, 35, 330, 313, 321, 142, 427, 102, 250, 235, 478, 48, 171, 412, 490, 117, 185, 228, 188, 226, 380, 334"
ssp119,2065,2075,0.44960433,0.42,"454, 47, 407, 81, 212, 2, 183, 440, 460, 446, 489, 447, 12, 423, 484, 379, 295, 383, 387, 337, 364, 382, 376, 130, 472, 5, 288, 437, 448, 247, 188, 259, 260, 193, 28, 302, 237, 229, 18, 356, 422, 402, 93, 296, 85, 342, 144, 261, 154, 44"
ssp119,2065,2085,0.5608949,0.66,"327, 80, 159, 274, 61, 478, 430, 156, 10, 11, 404, 408, 182, 328, 30, 464, 440, 129, 276, 165, 7, 142, 420, 53, 18, 126, 483, 308, 228, 369, 465, 411, 298, 158, 457, 70, 271, 127, 48, 56, 125, 31, 444, 356, 216, 69, 269, 77, 0, 268"
ssp119,2075,2085,0.49190095,0.36,"126, 73, 482, 498, 475, 357, 409, 133, 42, 328, 60, 10, 451, 145, 270, 90, 389, 33, 18, 448, 65, 238, 43, 382, 190, 417, 372, 489, 250, 402, 374, 279, 428, 228, 220, 304, 485, 132, 24, 76, 255, 210, 267, 230, 437, 226, 59, 464, 171, 46"
ssp126,2015,2025,0.5168853,0.8,"239, 147, 379, 29, 322, 72, 144, 258, 448, 104, 194, 493, 422, 98, 434, 346, 113, 25, 93, 365, 58, 445, 485, 463, 27, 175, 296, 246, 214, 316, 53, 271, 224, 309, 371, 201, 308, 453, 71, 4, 250, 460, 484, 427, 360, 398, 174, 128, 361, 230"
ssp126,2015,2035,0.5117736,0.94,"445, 272, 56, 388, 312, 452, 352, 290, 402, 172, 482, 333, 13, 167, 135, 485, 328, 404, 486, 231, 19, 254, 384, 441, 45, 44, 267, 39, 374, 53, 115, 164, 347, 359, 87, 77, 322, 302, 123, 287, 391, 462, 203, 448, 400, 81, 261, 119, 324, 429"
ssp126,2015,2045,0.49531624,1.0,"109, 397, 367, 61, 301, 28, 496, 326, 207, 144, 471, 389, 371, 208, 390, 333, 70, 11, 113, 485, 190, 432, 469, 141, 328, 249, 482, 308, 438, 204, 268, 119, 210, 363, 178, 23, 310, 62, 257, 352, 387, 179, 242, 172, 243, 324, 98, 319, 296, 87"
ssp126,2015,2055,0.5163513,0.94,"153, 487, 58, 392, 291, 126, 233, 172, 395, 464, 214, 456, 335, 240, 315, 148, 30, 299, 429, 64, 39, 482, 114, 100, 161, 448, 396, 57, 249, 439, 254, 247, 119, 165, 374, 94, 253, 351, 124, 449, 495, 421, 292, 216, 477, 451, 412, 134, 108, 111"
ssp126,2015,2065,0.546018,0.42,"77, 489, 290, 338, 237, 323, 391, 36, 477, 374, 382, 61, 213, 286, 314, 365, 424, 499, 91, 319, 88, 324, 457, 492, 307, 295, 444, 18, 422, 479, 341, 189, 24, 238, 148, 226, 121, 63, 86, 277, 390, 114, 76, 240, 232, 156, 454, 348, 243, 234"
ssp126,2015,2075,0.49240014,0.98,"6, 274, 402, 471, 213, 244, 428, 182, 52, 245, 324, 162, 496, 295, 230, 340, 270, 183, 355, 220, 441, 87, 178, 344, 322, 249, 112, 186, 474, 356, 100, 42, 327, 379, 212, 29, 311, 33, 72, 386, 248, 155, 253, 419, 462, 303, 478, 280, 276, 91"
ssp126,2015,2085,0.4869252,0.88,"140, 421, 67, 477, 175, 178, 457, 291, 244, 72, 352, 110, 465, 356, 29, 320, 468, 212, 480, 90, 404, 174, 184, 324, 71, 411, 128, 260, 144, 458, 425, 267, 101, 230, 150, 229, 437, 156, 436, 220, 167, 226, 286, 57, 428, 301, 146, 215, 353, 247"
ssp126,2025,2035,0.5281416,0.54,"155, 272, 330, 78, 474, 220, 174, 492, 292, 77, 412, 156, 120, 409, 347, 225, 301, 100, 407, 435, 71, 393, 466, 184, 461, 234, 423, 375, 99, 381, 206, 132, 258, 197, 357, 238, 325, 475, 125, 51, 5, 47, 367, 432, 12, 256, 112, 134, 405, 387"
ssp126,2025,2045,0.53836244,0.62,"477, 350, 203, 29, 11, 72, 446, 366, 262, 71, 476, 41, 417, 191, 273, 316, 322, 447, 308, 375, 86, 38, 170, 317, 270, 373, 275, 329, 413, 334, 58, 27, 215, 208, 197, 433, 246, 92, 23, 372, 320, 143, 99, 233, 111, 50, 189, 388, 181, 89"
ssp126,2025,2055,0.5246299,0.8,"177, 451, 208, 242, 272, 404, 316, 131, 281, 144, 268, 310, 191, 97, 459, 150, 336, 9, 104, 397, 312, 175, 267, 359, 265, 328, 442, 121, 293, 497, 433, 413, 477, 295, 155, 389, 423, 421, 111, 333, 467, 128, 170, 457, 411, 227, 400, 57, 2, 96"
ssp126,2025,2065,0.47818595,0.92,"420, 328, 263, 120, 21, 192, 257, 442, 250, 499, 125, 26, 234, 425, 426, 455, 266, 16, 473, 341, 294, 68, 156, 307, 158, 481, 76, 264, 207, 474, 70, 121, 166, 210, 436, 468, 358, 467, 32, 17, 146, 422, 385, 196, 145, 58, 209, 112, 41, 59"
ssp126,2025,2075,0.47534287,1.0,"52, 233, 152, 65, 7, 420, 492, 235, 383, 257, 327, 243, 97, 178, 159, 46, 289, 281, 332, 164, 469, 71, 394, 274, 349, 9, 73, 393, 121, 284, 146, 395, 28, 8, 69, 27, 144, 398, 476, 220, 15, 93, 435, 5, 229, 103, 200, 403, 111, 468"
ssp126,2025,2085,0.55500245,0.64,"15, 494, 276, 40, 332, 112, 499, 104, 401, 362, 189, 324, 290, 289, 80, 346, 7, 487, 66, 154, 414, 178, 34, 423, 337, 387, 286, 132, 45, 466, 250, 427, 394, 435, 225, 322, 106, 177, 296, 99, 371, 33, 213, 165, 339, 260, 109, 79, 148, 270"
ssp126,2035,2045,0.4730625,0.52,"135, 397, 416, 81, 62, 91, 144, 272, 280, 167, 324, 279, 5, 109, 102, 182, 60, 8, 96, 355, 190, 352, 12, 104, 390, 441, 118, 480, 395, 389, 455, 294, 36, 132, 122, 461, 262, 237, 13, 350, 434, 215, 303, 40, 83, 424, 115, 315, 157, 22"
ssp126,2035,2055,0.45304698,0.68,"422, 89, 161, 461, 272, 379, 184, 4, 160, 305, 384, 139, 269, 432, 405, 182, 463, 21, 385, 494, 245, 75, 435, 16, 59, 42, 316, 206, 499, 410, 10, 228, 18, 377, 190, 194, 43, 150, 346, 233, 51, 353, 413, 351, 204, 478, 2, 375, 309, 246"
ssp126,2035,2065,0.5173781,0.92,"166, 432, 418, 286, 366, 130, 386, 44, 472, 220, 43, 341, 244, 285, 303, 459, 170, 339, 445, 162, 404, 294, 41, 329, 81, 393, 226, 67, 258, 375, 328, 103, 320, 478, 24, 498, 202, 473, 183, 335, 209, 407, 159, 56, 232, 384, 77, 398, 189, 201"
ssp126,2035,2075,0.586663,0.8,"390, 48, 139, 286, 290, 7, 313, 380, 93, 410, 175, 56, 208, 251, 318, 136, 321, 420, 245, 324, 422, 176, 64, 461, 110, 209, 70, 417, 244, 3, 153, 376, 114, 253, 189, 8, 143, 238, 495, 32, 374, 339, 465, 59, 180, 94, 453, 11, 172, 183"
ssp126,2035,2085,0.43667686,0.7,"417, 304, 337, 459, 252, 466, 82, 41, 438, 330, 117, 114, 52, 445, 457, 377, 351, 437, 272, 436, 269, 349, 335, 96, 242, 414, 87, 391, 102, 113, 427, 158, 448, 370, 498, 251, 479, 29, 477, 467, 191, 155, 26, 108, 68, 344, 143, 324, 57, 163"
ssp126,2045,2055,0.47152042,0.68,"229, 150, 266, 444, 181, 418, 381, 185, 217, 424, 238, 210, 438, 253, 66, 214, 237, 368, 358, 385, 98, 332, 294, 65, 218, 189, 143, 333, 113, 410, 348, 145, 191, 404, 83, 375, 281, 35, 232, 292, 483, 220, 97, 428, 123, 161, 304, 351, 460, 160"
ssp126,2045,2065,0.5979307,0.62,"409, 214, 30, 110, 304, 428, 490, 266, 186, 416, 247, 393, 135, 271, 426, 352, 479, 295, 36, 296, 165, 358, 353, 159, 403, 21, 144, 468, 425, 79, 380, 369, 342, 22, 347, 407, 355, 206, 460, 133, 433, 116, 438, 251, 354, 499, 183, 256, 27, 367"
ssp126,2045,2075,0.6020062,0.66,"343, 401, 448, 163, 61, 32, 272, 217, 380, 115, 318, 266, 285, 45, 95, 48, 367, 225, 391, 239, 393, 161, 201, 247, 428, 486, 155, 134, 18, 60, 373, 355, 450, 325, 356, 277, 443, 435, 413, 358, 160, 94, 281, 125, 116, 54, 15, 320, 92, 310"
ssp126,2045,2085,0.6818493,0.54,"309, 398, 223, 402, 32, 225, 22, 278, 355, 271, 95, 239, 412, 405, 164, 438, 132, 220, 65, 145, 418, 162, 358, 464, 436, 203, 335, 178, 204, 439, 207, 102, 477, 488, 249, 171, 316, 99, 331, 364, 362, 375, 195, 263, 262, 23, 83, 152, 352, 91"
ssp126,2055,2065,0.44346166,0.56,"14, 342, 400, 294, 310, 108, 398, 160, 302, 70, 10, 290, 316, 200, 305, 175, 125, 211, 367, 63, 145, 137, 350, 197, 388, 263, 278, 151, 322, 49, 267, 460, 258, 103, 76, 467, 454, 296, 180, 251, 227, 220, 419, 404, 24, 110, 12, 487, 42, 50"
ssp126,2055,2075,0.49296266,0.54,"479, 255, 353, 124, 65, 73, 280, 470, 347, 21, 236, 378, 71, 149, 24, 463, 473, 258, 271, 230, 416, 337, 85, 319, 266, 46, 354, 247, 438, 99, 345, 392, 45, 177, 206, 13, 248, 3, 80, 203, 242, 146, 466, 269, 472, 106, 93, 411, 321, 452"
ssp126,2055,2085,0.49179885,0.64,"157, 270, 406, 395, 239, 257, 0, 119, 292, 276, 4, 351, 421, 90, 109, 46, 364, 26, 95, 108, 185, 418, 47, 97, 305, 103, 35, 11, 415, 366, 309, 261, 132, 300, 94, 462, 78, 327, 385, 289, 64, 250, 386, 43, 482, 228, 268, 89, 315, 319"
ssp126,2065,2075,0.42608443,0.58,"295, 42, 477, 409, 161, 347, 370, 303, 325, 109, 474, 291, 221, 235, 359, 15, 405, 479, 19, 301, 16, 461, 25, 395, 464, 392, 377, 110, 84, 134, 139, 162, 453, 50, 166, 64, 10, 153, 302, 80, 293, 215, 279, 70, 213, 82, 419, 438, 114, 421"
