scenario,early_yr,late_yr,mean_pred,accuracy,test_indices
ssp119,2015,2025,0.4334568,0.74,"203, 18, 267, 200, 465, 11, 409, 430, 139, 128, 162, 433, 347, 476, 492, 366, 25, 283, 131, 257, 170, 212, 241, 294, 79, 396, 318, 209, 217, 169, 29, 309, 297, 270, 72, 286, 358, 144, 293, 223, 284, 152, 194, 326, 156, 340, 328, 288, 57, 226"
ssp119,2015,2035,0.4289729,0.88,"0, 33, 140, 323, 498, 180, 204, 354, 94, 337, 106, 42, 473, 254, 353, 391, 290, 388, 420, 333, 145, 272, 51, 185, 347, 63, 126, 398, 405, 78, 200, 137, 143, 9, 70, 171, 412, 280, 88, 479, 236, 48, 358, 414, 349, 157, 356, 93, 303, 127"
ssp119,2015,2045,0.59074354,0.9,"2, 428, 289, 43, 342, 469, 173, 369, 447, 98, 437, 204, 478, 121, 439, 228, 445, 362, 66, 203, 205, 461, 347, 48, 363, 358, 492, 79, 388, 453, 239, 357, 264, 118, 188, 463, 254, 36, 119, 287, 235, 55, 185, 115, 112, 126, 473, 465, 237, 120"
ssp119,2015,2055,0.46103036,0.92,"271, 402, 436, 147, 391, 100, 29, 24, 232, 331, 60, 142, 140, 398, 397, 474, 317, 224, 336, 348, 192, 355, 87, 103, 291, 233, 204, 109, 459, 406, 254, 414, 187, 250, 119, 144, 349, 66, 367, 488, 468, 352, 443, 486, 26, 150, 293, 91, 86, 491"
ssp119,2015,2065,0.5439838,0.88,"237, 465, 67, 454, 427, 438, 68, 325, 172, 10, 474, 318, 435, 11, 25, 405, 480, 376, 355, 148, 246, 71, 127, 496, 8, 484, 422, 180, 23, 360, 73, 432, 275, 210, 65, 153, 239, 425, 494, 225, 259, 473, 316, 64, 333, 183, 222, 107, 93, 387"
ssp119,2015,2075,0.5052432,0.94,"360, 228, 404, 240, 272, 433, 67, 135, 136, 449, 353, 341, 418, 172, 152, 151, 271, 400, 131, 213, 289, 74, 369, 158, 72, 154, 420, 280, 261, 367, 335, 113, 145, 352, 426, 10, 478, 90, 287, 13, 310, 440, 340, 257, 392, 39, 333, 266, 366, 320"
ssp119,2015,2085,0.48367587,1.0,"421, 96, 288, 251, 92, 0, 213, 244, 88, 116, 190, 169, 135, 333, 442, 136, 324, 447, 157, 378, 352, 85, 293, 8, 309, 390, 330, 74, 145, 174, 121, 314, 210, 452, 65, 485, 455, 444, 86, 153, 411, 130, 446, 354, 490, 70, 62, 322, 125, 105"
ssp119,2025,2035,0.4601231,0.58,"220, 230, 264, 474, 346, 140, 251, 35, 204, 215, 431, 461, 187, 137, 44, 333, 260, 19, 129, 398, 5, 354, 121, 158, 380, 364, 141, 199, 255, 67, 254, 48, 8, 257, 360, 0, 54, 180, 38, 69, 270, 249, 184, 86, 117, 77, 202, 308, 357, 235"
ssp119,2025,2045,0.49534836,0.64,"15, 479, 96, 259, 89, 274, 223, 11, 6, 290, 196, 41, 20, 164, 179, 230, 31, 489, 451, 398, 166, 95, 320, 193, 248, 236, 159, 368, 242, 77, 301, 263, 36, 125, 323, 86, 291, 421, 246, 329, 468, 264, 445, 120, 35, 17, 318, 278, 210, 279"
ssp119,2025,2055,0.4915761,0.76,"457, 90, 443, 112, 150, 191, 287, 22, 302, 356, 427, 165, 312, 108, 446, 169, 418, 229, 280, 459, 283, 425, 25, 58, 69, 194, 143, 138, 429, 437, 419, 412, 0, 316, 145, 328, 360, 86, 77, 56, 239, 274, 271, 448, 366, 154, 192, 16, 493, 296"
ssp119,2025,2065,0.49548337,0.74,"130, 116, 233, 349, 308, 317, 97, 304, 223, 185, 312, 156, 47, 50, 464, 163, 404, 338, 108, 0, 105, 35, 197, 387, 433, 343, 170, 169, 452, 112, 263, 29, 134, 489, 44, 394, 466, 95, 250, 64, 51, 286, 34, 121, 93, 165, 267, 69, 255, 328"
ssp119,2025,2075,0.5792519,0.48,"68, 408, 44, 328, 104, 431, 335, 344, 383, 275, 172, 333, 469, 471, 40, 162, 26, 250, 493, 45, 21, 227, 114, 164, 327, 394, 8, 273, 236, 374, 58, 74, 65, 346, 441, 69, 83, 487, 207, 248, 292, 156, 117, 200, 186, 2, 299, 230, 59, 494"
ssp119,2025,2085,0.501534,1.0,"109, 208, 195, 158, 313, 18, 54, 428, 210, 418, 70, 131, 201, 481, 44, 125, 20, 260, 301, 360, 205, 480, 89, 457, 307, 286, 151, 499, 46, 176, 222, 280, 417, 279, 78, 255, 194, 5, 273, 335, 130, 459, 152, 357, 483, 324, 63, 112, 435, 214"
ssp119,2035,2045,0.53115785,0.62,"261, 9, 479, 236, 42, 111, 374, 321, 165, 35, 67, 117, 32, 121, 435, 116, 89, 296, 371, 436, 158, 392, 456, 138, 134, 48, 478, 43, 98, 421, 450, 458, 442, 147, 462, 289, 269, 50, 146, 351, 473, 237, 399, 110, 284, 151, 283, 335, 330, 349"
ssp119,2035,2055,0.53834856,0.66,"290, 295, 156, 197, 163, 36, 248, 42, 465, 33, 129, 454, 6, 469, 187, 98, 240, 44, 115, 371, 241, 89, 170, 490, 347, 62, 428, 344, 68, 121, 219, 258, 54, 238, 487, 443, 122, 164, 160, 301, 108, 460, 358, 376, 16, 223, 401, 9, 373, 133"
ssp119,2035,2065,0.4893927,0.84,"195, 274, 358, 143, 418, 77, 56, 294, 76, 22, 390, 46, 348, 402, 6, 295, 329, 36, 219, 73, 7, 3, 430, 437, 281, 193, 273, 263, 253, 38, 368, 292, 108, 477, 88, 161, 205, 41, 223, 112, 214, 49, 59, 137, 482, 156, 24, 58, 191, 203"
ssp119,2035,2075,0.5458931,0.88,"419, 3, 266, 335, 246, 10, 316, 42, 231, 84, 475, 175, 81, 445, 364, 462, 438, 360, 193, 385, 115, 467, 415, 343, 219, 152, 66, 124, 375, 297, 180, 254, 116, 27, 286, 259, 125, 248, 440, 191, 272, 60, 65, 232, 342, 16, 197, 25, 410, 154"
ssp119,2035,2085,0.5260007,0.96,"71, 185, 218, 196, 131, 473, 475, 216, 254, 363, 247, 345, 207, 414, 433, 348, 134, 14, 64, 373, 246, 468, 115, 36, 261, 303, 32, 336, 317, 190, 432, 300, 425, 393, 476, 471, 82, 295, 56, 294, 292, 48, 339, 8, 59, 91, 42, 380, 51, 259"
ssp119,2045,2055,0.595692,0.62,"14, 173, 199, 274, 19, 391, 17, 266, 151, 48, 79, 24, 144, 145, 459, 317, 470, 358, 281, 147, 218, 69, 181, 204, 345, 220, 312, 94, 56, 444, 408, 109, 20, 263, 392, 395, 422, 62, 377, 357, 33, 386, 307, 333, 382, 146, 322, 131, 280, 258"
ssp119,2045,2065,0.48173082,0.68,"407, 441, 194, 421, 160, 409, 341, 308, 156, 145, 475, 167, 295, 152, 81, 121, 443, 162, 169, 159, 225, 76, 210, 125, 373, 404, 250, 18, 63, 329, 131, 302, 299, 117, 243, 476, 116, 170, 426, 72, 405, 483, 485, 207, 193, 89, 239, 451, 291, 221"
ssp119,2045,2075,0.46334922,0.56,"34, 43, 255, 253, 73, 126, 245, 321, 445, 455, 145, 4, 37, 203, 396, 341, 495, 407, 235, 205, 291, 228, 289, 453, 378, 10, 13, 288, 466, 195, 70, 180, 170, 449, 136, 327, 370, 437, 196, 209, 361, 2, 86, 58, 62, 476, 425, 16, 364, 460"
