early_yr,late_yr,scenario,mean_pred,accuracy,test_indices
2015,2025,ssp119,0.49294987,0.88,"142, 33, 378, 48, 87, 81, 197, 459, 116, 120, 188, 410, 319, 201, 433, 232, 474, 309, 379, 139, 455, 389, 37, 413, 204, 242, 4, 496, 250, 175, 414, 293, 57, 185, 178, 271, 393, 338, 151, 171, 66, 344, 494, 49, 22, 317, 126, 479, 387, 108"
2015,2035,ssp119,0.5539425,0.9,"306, 480, 26, 327, 20, 79, 342, 192, 216, 147, 352, 318, 242, 233, 252, 479, 329, 214, 489, 213, 49, 75, 256, 378, 180, 72, 286, 435, 65, 103, 234, 102, 108, 230, 357, 426, 387, 158, 227, 494, 74, 355, 176, 235, 91, 458, 95, 443, 228, 377"
2015,2045,ssp119,0.4652887,0.94,"26, 235, 298, 331, 29, 267, 218, 52, 341, 165, 178, 468, 81, 245, 452, 220, 155, 140, 314, 251, 71, 36, 2, 277, 360, 122, 78, 13, 263, 365, 384, 306, 319, 147, 289, 158, 23, 104, 96, 91, 285, 315, 130, 329, 228, 470, 281, 49, 219, 292"
2015,2055,ssp119,0.49017575,0.98,"437, 219, 448, 136, 246, 389, 156, 137, 382, 119, 75, 259, 306, 61, 336, 315, 486, 226, 162, 91, 244, 79, 451, 134, 44, 105, 444, 296, 51, 99, 8, 303, 151, 166, 147, 85, 182, 199, 385, 7, 377, 353, 126, 153, 335, 475, 421, 308, 82, 107"
2015,2065,ssp119,0.46988213,0.98,"107, 286, 373, 346, 360, 158, 11, 328, 81, 64, 424, 326, 178, 110, 236, 212, 33, 10, 278, 420, 409, 459, 334, 499, 372, 380, 458, 463, 58, 284, 120, 102, 430, 230, 185, 496, 71, 353, 4, 439, 287, 317, 5, 479, 350, 59, 406, 137, 75, 26"
2015,2075,ssp119,0.49423492,1.0,"302, 374, 407, 392, 379, 324, 39, 198, 245, 481, 14, 195, 23, 460, 107, 129, 173, 303, 180, 15, 101, 104, 53, 116, 22, 304, 263, 87, 126, 403, 214, 9, 489, 493, 376, 281, 186, 471, 470, 267, 400, 478, 5, 319, 271, 443, 445, 375, 282, 75"
2015,2085,ssp119,0.51443803,1.0,"111, 82, 390, 197, 50, 472, 227, 308, 214, 231, 482, 367, 175, 140, 362, 360, 11, 437, 164, 88, 252, 142, 348, 149, 314, 397, 416, 4, 199, 316, 38, 322, 141, 282, 151, 473, 64, 53, 343, 84, 102, 375, 29, 48, 205, 236, 277, 150, 398, 47"
2025,2035,ssp119,0.48811036,0.68,"286, 342, 140, 478, 331, 359, 36, 304, 413, 67, 16, 44, 176, 324, 491, 60, 346, 318, 156, 317, 114, 76, 249, 110, 349, 467, 430, 231, 70, 32, 232, 397, 151, 157, 361, 26, 41, 262, 78, 264, 354, 307, 138, 58, 80, 327, 451, 498, 450, 269"
2025,2045,ssp119,0.51800716,0.74,"254, 438, 372, 210, 31, 358, 151, 289, 186, 172, 91, 495, 140, 45, 300, 22, 400, 373, 499, 173, 176, 126, 463, 435, 329, 65, 168, 368, 460, 217, 428, 388, 422, 469, 41, 405, 480, 354, 357, 0, 324, 323, 220, 330, 118, 348, 496, 317, 184, 343"
2025,2055,ssp119,0.49477437,0.84,"189, 53, 407, 274, 319, 15, 195, 30, 477, 330, 115, 485, 206, 285, 96, 231, 215, 398, 318, 26, 142, 76, 82, 484, 301, 386, 463, 192, 497, 4, 64, 55, 446, 417, 313, 13, 227, 306, 478, 434, 341, 279, 156, 395, 408, 296, 250, 263, 113, 343"
