scenario,early,late,mean_pred
ssp119,2015,2025,0.39754188
ssp119,2015,2035,0.50151753
ssp119,2015,2045,0.50715566
ssp119,2015,2055,0.51070726
ssp119,2015,2065,0.47871798
ssp119,2015,2075,0.4743314
ssp119,2015,2085,0.5096775
ssp119,2025,2035,0.53606534
ssp119,2025,2045,0.44727165
ssp119,2025,2055,0.46846813
ssp119,2025,2065,0.46179545
ssp119,2025,2075,0.54147184
ssp119,2025,2085,0.52546775
ssp119,2035,2045,0.70022917
ssp119,2035,2055,0.44611618
ssp119,2035,2065,0.49243084
ssp119,2035,2075,0.5172316
ssp119,2035,2085,0.5048224
ssp119,2045,2055,0.5385054
ssp119,2045,2065,0.57063586
ssp119,2045,2075,0.4293492
ssp119,2045,2085,0.46902645
ssp119,2055,2065,0.4804753
ssp119,2055,2075,0.5378555
ssp119,2055,2085,0.5332674
ssp119,2065,2075,0.51590407
ssp119,2065,2085,0.47331595
ssp119,2075,2085,0.55791855
ssp126,2015,2025,0.468246
ssp126,2015,2035,0.514429
ssp126,2015,2045,0.4878384
ssp126,2015,2055,0.48736447
ssp126,2015,2065,0.5487486
ssp126,2015,2075,0.46002397
ssp126,2015,2085,0.46818838
ssp126,2025,2035,0.5431395
ssp126,2025,2045,0.5104286
ssp126,2025,2055,0.45954478
ssp126,2025,2065,0.5003013
ssp126,2025,2075,0.50172883
ssp126,2025,2085,0.4936955
ssp126,2035,2045,0.41535836
ssp126,2035,2055,0.5163948
ssp126,2035,2065,0.48424256
ssp126,2035,2075,0.4804712
ssp126,2035,2085,0.5369771
ssp126,2045,2055,0.55716306
ssp126,2045,2065,0.42836234
ssp126,2045,2075,0.51494277
ssp126,2045,2085,0.5609361
ssp126,2055,2065,0.5559441
ssp126,2055,2075,0.47845927
ssp126,2055,2085,0.4525269
ssp126,2065,2075,0.49259543
ssp126,2065,2085,0.50712943
ssp126,2075,2085,0.42762738
