scenario,early_yr,late_yr,mean_pred
ssp119,2015,2025,0.43699235
ssp119,2015,2035,0.49724606
ssp119,2015,2045,0.47137272
ssp119,2015,2055,0.50157374
ssp119,2015,2065,0.46631387
ssp119,2015,2075,0.3564532
ssp119,2015,2085,0.49996132
ssp119,2025,2035,0.50651616
ssp119,2025,2045,0.48909217
ssp119,2025,2055,0.5118096
ssp119,2025,2065,0.51924753
ssp119,2025,2075,0.50892955
ssp119,2025,2085,0.5193857
ssp119,2035,2045,0.49626136
ssp119,2035,2055,0.60352045
ssp119,2035,2065,0.43968707
ssp119,2035,2075,0.54120314
ssp119,2035,2085,0.49163005
ssp119,2045,2055,0.40267253
ssp119,2045,2065,0.5915336
ssp119,2045,2075,0.52319247
ssp119,2045,2085,0.50929
ssp119,2055,2065,0.49169555
ssp119,2055,2075,0.54196
ssp119,2055,2085,0.51092225
ssp119,2065,2075,0.5197191
ssp119,2065,2085,0.4536295
ssp119,2075,2085,0.4930424
ssp126,2015,2025,0.50134647
ssp126,2015,2035,0.5383764
ssp126,2015,2045,0.4918238
ssp126,2015,2055,0.4965236
ssp126,2015,2065,0.49132606
ssp126,2015,2075,0.50056213
ssp126,2015,2085,0.49818915
ssp126,2025,2035,0.47696507
ssp126,2025,2045,0.45935804
ssp126,2025,2055,0.5016441
ssp126,2025,2065,0.41929597
ssp126,2025,2075,0.50828147
ssp126,2025,2085,0.49558616
ssp126,2035,2045,0.4550126
ssp126,2035,2055,0.467074
ssp126,2035,2065,0.55873036
ssp126,2035,2075,0.48705968
ssp126,2035,2085,0.49668136
ssp126,2045,2055,0.49817252
ssp126,2045,2065,0.45755976
ssp126,2045,2075,0.4347042
ssp126,2045,2085,0.4282092
ssp126,2055,2065,0.4742062
ssp126,2055,2075,0.52256596
ssp126,2055,2085,0.4996557
ssp126,2065,2075,0.47877568
ssp126,2065,2085,0.6491519
ssp126,2075,2085,0.514568
