scenario,early_yr,late_yr,mean_pred,accuracy
ssp119,2015,2025,0.5487199,0.88
ssp119,2015,2035,0.50063974,0.96
ssp119,2015,2045,0.49283636,0.94
ssp119,2015,2055,0.5145662,0.94
ssp119,2015,2065,0.5394742,0.64
ssp119,2015,2075,0.69565445,0.5
ssp119,2015,2085,0.50073045,1
ssp119,2025,2035,0.5104448,0.82
ssp119,2025,2045,0.56411844,0.76
ssp119,2025,2055,0.58024,0.78
ssp119,2025,2065,0.50765014,0.84
ssp119,2025,2075,0.3958141,0.86
ssp119,2025,2085,0.48514342,0.96
ssp119,2035,2045,0.50927025,0.5
ssp119,2035,2055,0.5828099,0.42
ssp119,2035,2065,0.42684394,0.74
ssp119,2035,2075,0.48478523,0.66
ssp119,2035,2085,0.48143274,0.98
ssp119,2045,2055,0.52282184,0.54
ssp119,2045,2065,0.48584798,0.52
ssp119,2045,2075,0.5424572,0.66
ssp119,2045,2085,0.637882,0.5
ssp119,2055,2065,0.4971797,0.5
ssp119,2055,2075,0.4939826,0.84
ssp119,2055,2085,0.5184779,0.84
ssp119,2065,2075,0.49848488,0.44
ssp119,2065,2085,0.5732324,0.76
ssp119,2075,2085,0.52122474,0.46
ssp126,2015,2025,0.5486835,0.8
ssp126,2015,2035,0.5231811,0.98
ssp126,2015,2045,0.48300445,0.98
ssp126,2015,2055,0.54993635,0.78
ssp126,2015,2065,0.4983248,0.88
ssp126,2015,2075,0.5001005,1
ssp126,2015,2085,0.5001407,1
ssp126,2025,2035,0.5758128,0.76
ssp126,2025,2045,0.57755965,0.64
ssp126,2025,2055,0.53193295,0.92
ssp126,2025,2065,0.45644265,0.96
ssp126,2025,2075,0.4674458,0.96
ssp126,2025,2085,0.5431241,0.9
ssp126,2035,2045,0.47539306,0.64
ssp126,2035,2055,0.5584249,0.94
ssp126,2035,2065,0.4906475,0.9
ssp126,2035,2075,0.47454917,0.5
ssp126,2035,2085,0.52703977,0.98
ssp126,2045,2055,0.54698735,0.5
ssp126,2045,2065,0.5000663,0.76
ssp126,2045,2075,0.42341414,0.88
ssp126,2045,2085,0.45858288,0.58
ssp126,2055,2065,0.5010982,0.56
ssp126,2055,2075,0.42287707,0.76
ssp126,2055,2085,0.4928688,0.92
ssp126,2065,2075,0.5450218,0.68
ssp126,2065,2085,0.4528524,0.88
ssp126,2075,2085,0.5088463,0.6
