scenario,early_yr,late_yr,mean_pred,accuracy
ssp119,2015,2025,0.47024533,0.82
ssp119,2015,2035,0.41059995,0.84
ssp119,2015,2045,0.46614957,0.98
ssp119,2015,2055,0.430172,0.9
ssp119,2015,2065,0.53219545,0.92
ssp119,2015,2075,0.59530103,0.9
ssp119,2015,2085,0.48919517,0.68
ssp119,2025,2035,0.54124117,0.66
ssp119,2025,2045,0.540277,0.74
ssp119,2025,2055,0.57221067,0.7
ssp119,2025,2065,0.64261496,0.5
ssp119,2025,2075,0.61696464,0.5
ssp119,2025,2085,0.5876581,0.48
ssp119,2035,2045,0.53150535,0.56
ssp119,2035,2055,0.48564038,0.5
ssp119,2035,2065,0.4734137,0.72
ssp119,2035,2075,0.5782572,0.62
ssp119,2035,2085,0.512858,0.94
ssp119,2045,2055,0.45957574,0.62
ssp119,2045,2065,0.47554883,0.6
ssp119,2045,2075,0.6225309,0.5
ssp119,2045,2085,0.49877837,0.86
ssp119,2055,2065,0.50673735,0.44
ssp119,2055,2075,0.53265524,0.74
ssp119,2055,2085,0.46730882,0.66
ssp119,2065,2075,0.5154985,0.7
ssp119,2065,2085,0.52131104,0.54
ssp119,2075,2085,0.51096976,0.5
ssp126,2015,2025,0.5455273,0.88
ssp126,2015,2035,0.4931575,1.0
ssp126,2015,2045,0.4399839,0.94
ssp126,2015,2055,0.47181493,0.98
ssp126,2015,2065,0.4948042,1.0
ssp126,2015,2075,0.46892312,0.98
ssp126,2015,2085,0.548979,0.88
ssp126,2025,2035,0.55712163,0.9
ssp126,2025,2045,0.3902633,0.9
ssp126,2025,2055,0.48515007,0.92
ssp126,2025,2065,0.47135657,0.94
ssp126,2025,2075,0.6354613,0.4
ssp126,2025,2085,0.49441272,1.0
ssp126,2035,2045,0.40960875,0.7
ssp126,2035,2055,0.4879905,0.8
ssp126,2035,2065,0.4596383,0.94
ssp126,2035,2075,0.5016666,1.0
ssp126,2035,2085,0.4845026,0.94
ssp126,2045,2055,0.55309993,0.64
ssp126,2045,2065,0.6209454,0.76
ssp126,2045,2075,0.4457286,0.8
ssp126,2045,2085,0.5326912,0.88
ssp126,2055,2065,0.52876157,0.5
ssp126,2055,2075,0.511854,0.82
ssp126,2055,2085,0.48554143,0.88
ssp126,2065,2075,0.42639714,0.58
ssp126,2065,2085,0.543718,0.82
ssp126,2075,2085,0.51640314,0.6
