scenario,early_yr,late_yr,mean_pred
ssp119,2015,2025,0.4493701
ssp119,2015,2035,0.51422334
ssp119,2015,2045,0.48026493
ssp119,2015,2055,0.57318354
ssp119,2015,2065,0.4693312
ssp119,2015,2075,0.5281985
ssp119,2015,2085,0.5116788
ssp119,2025,2035,0.44918185
ssp119,2025,2045,0.43232414
ssp119,2025,2055,0.5089615
ssp119,2025,2065,0.5531696
ssp119,2025,2075,0.5694339
ssp119,2025,2085,0.4717735
ssp119,2035,2045,0.50112396
ssp119,2035,2055,0.48017868
ssp119,2035,2065,0.49934608
ssp119,2035,2075,0.59185565
ssp119,2035,2085,0.48121175
ssp119,2045,2055,0.4928038
ssp119,2045,2065,0.49780774
ssp119,2045,2075,0.42141888
ssp119,2045,2085,0.48405692
ssp119,2055,2065,0.48931366
ssp119,2055,2075,0.5963144
ssp119,2055,2085,0.53691983
ssp119,2065,2075,0.5822725
ssp119,2065,2085,0.47719222
ssp119,2075,2085,0.47976598
ssp126,2015,2025,0.6740891
ssp126,2015,2035,0.460034
ssp126,2015,2045,0.5057443
ssp126,2015,2055,0.50349367
ssp126,2015,2065,0.52437776
ssp126,2015,2075,0.7136711
ssp126,2015,2085,0.5199729
ssp126,2025,2035,0.4981863
ssp126,2025,2045,0.5161888
ssp126,2025,2055,0.45039594
ssp126,2025,2065,0.46847248
ssp126,2025,2075,0.44159347
ssp126,2025,2085,0.48132628
ssp126,2035,2045,0.5626445
ssp126,2035,2055,0.61252475
ssp126,2035,2065,0.55487174
ssp126,2035,2075,0.47363883
ssp126,2035,2085,0.44616088
ssp126,2045,2055,0.5010941
ssp126,2045,2065,0.58238465
ssp126,2045,2075,0.47192052
ssp126,2045,2085,0.66155934
ssp126,2055,2065,0.50808007
ssp126,2055,2075,0.4365816
ssp126,2055,2085,0.49472222
ssp126,2065,2075,0.48130387
ssp126,2065,2085,0.52819884
ssp126,2075,2085,0.54508877
