early_yr,late_yr,scenario,mean_pred,accuracy,test_indices
2015,2025,ssp119,0.509215,0.88,"3, 42, 373, 427, 32, 122, 157, 224, 29, 331, 423, 435, 163, 442, 321, 236, 296, 448, 399, 353, 72, 2, 322, 426, 169, 230, 141, 396, 464, 91, 130, 461, 35, 385, 50, 371, 370, 390, 460, 129, 82, 113, 433, 355, 482, 490, 63, 37, 194, 150"
2015,2035,ssp119,0.56192994,0.94,"56, 404, 37, 90, 99, 275, 441, 71, 1, 38, 364, 76, 152, 153, 310, 148, 373, 309, 279, 482, 499, 228, 119, 198, 446, 443, 461, 188, 203, 244, 91, 260, 26, 19, 46, 121, 387, 104, 184, 337, 414, 163, 419, 205, 63, 374, 270, 126, 452, 48"
2015,2045,ssp119,0.5073207,0.9,"211, 81, 248, 63, 468, 20, 131, 320, 274, 414, 358, 363, 72, 426, 226, 475, 182, 88, 11, 347, 432, 52, 258, 435, 3, 470, 481, 26, 200, 422, 450, 438, 394, 406, 380, 268, 89, 355, 150, 351, 267, 303, 133, 151, 245, 35, 105, 266, 30, 334"
2015,2055,ssp119,0.4934581,0.96,"127, 451, 102, 66, 95, 75, 193, 81, 103, 302, 318, 395, 155, 404, 286, 369, 377, 203, 284, 267, 287, 281, 228, 463, 440, 305, 254, 37, 422, 111, 28, 445, 42, 392, 174, 432, 324, 325, 97, 11, 216, 86, 104, 374, 88, 200, 416, 467, 85, 20"
2015,2065,ssp119,0.44033545,0.94,"417, 33, 279, 18, 292, 276, 355, 51, 48, 299, 89, 25, 303, 201, 409, 97, 242, 181, 214, 128, 353, 484, 437, 98, 387, 316, 76, 395, 412, 449, 307, 249, 342, 490, 329, 322, 65, 476, 373, 160, 217, 211, 161, 264, 120, 235, 110, 359, 93, 158"
2015,2075,ssp119,0.48482636,0.96,"398, 218, 231, 61, 287, 334, 314, 382, 350, 159, 313, 412, 219, 269, 181, 186, 469, 436, 448, 40, 1, 437, 241, 475, 157, 328, 307, 470, 87, 75, 187, 43, 282, 425, 326, 28, 279, 254, 410, 238, 446, 196, 178, 405, 194, 267, 126, 255, 396, 142"
2015,2085,ssp119,0.57526153,0.5,"49, 461, 242, 141, 51, 244, 476, 179, 169, 61, 389, 95, 304, 82, 421, 363, 340, 347, 175, 192, 439, 10, 108, 342, 219, 289, 299, 496, 188, 338, 318, 468, 209, 9, 99, 127, 406, 247, 164, 212, 489, 287, 64, 35, 176, 126, 29, 450, 430, 487"
2025,2035,ssp119,0.54270136,0.68,"32, 94, 226, 456, 159, 55, 99, 425, 65, 89, 441, 302, 382, 26, 491, 418, 100, 369, 173, 200, 108, 126, 169, 407, 250, 497, 196, 450, 150, 341, 180, 399, 331, 164, 426, 119, 85, 439, 40, 144, 140, 232, 235, 305, 404, 268, 460, 476, 214, 364"
2025,2045,ssp119,0.5391417,0.68,"416, 237, 219, 455, 477, 358, 129, 120, 121, 382, 24, 59, 498, 459, 68, 11, 448, 99, 141, 267, 432, 46, 169, 375, 261, 234, 87, 489, 360, 425, 69, 226, 161, 340, 457, 123, 16, 78, 348, 61, 365, 293, 445, 485, 231, 328, 411, 55, 105, 422"
2025,2055,ssp119,0.3795498,0.6,"89, 280, 60, 431, 423, 286, 15, 79, 241, 186, 460, 373, 223, 288, 261, 275, 163, 437, 326, 231, 260, 184, 451, 1, 372, 402, 132, 262, 208, 445, 382, 255, 357, 229, 435, 135, 284, 370, 351, 249, 147, 348, 181, 339, 330, 39, 215, 148, 11, 170"
2025,2065,ssp119,0.5792322,0.74,"413, 82, 44, 118, 142, 469, 6, 128, 244, 459, 257, 201, 445, 36, 188, 311, 348, 94, 20, 433, 258, 168, 307, 396, 53, 465, 365, 115, 139, 63, 401, 488, 185, 183, 406, 182, 237, 69, 122, 269, 277, 356, 321, 472, 422, 70, 426, 468, 46, 284"
2025,2075,ssp119,0.46158051,0.92,"238, 164, 94, 17, 469, 176, 142, 113, 169, 465, 362, 172, 323, 219, 401, 36, 347, 12, 229, 288, 382, 61, 449, 417, 296, 349, 457, 348, 389, 297, 206, 437, 448, 85, 301, 233, 428, 256, 67, 363, 271, 42, 473, 495, 368, 391, 395, 445, 45, 149"
