scenario,early,late,mean_pred,accuracy
ssp119,2015,2025,0.53453076,0.0
ssp119,2015,2035,0.71179694,0.0
ssp119,2015,2045,0.5051231,0.0
ssp119,2015,2055,0.52033186,0.06
ssp119,2015,2065,0.51985914,0.19
ssp119,2015,2075,0.66611624,0.01
ssp119,2015,2085,0.51047575,0.31
ssp119,2025,2035,0.47889775,0.0
ssp119,2025,2045,0.5928262,0.0
ssp119,2025,2055,0.48013642,0.06
ssp119,2025,2065,0.5488606,0.2
ssp119,2025,2075,0.43220386,0.05
ssp119,2025,2085,0.5246964,0.1
ssp119,2035,2045,0.4949906,0.0
ssp119,2035,2055,0.453764,0.02
ssp119,2035,2065,0.5900765,0.0
ssp119,2035,2075,0.55672556,0.0
ssp119,2035,2085,0.39316133,0.03
ssp119,2045,2055,0.5321846,0.0
ssp119,2045,2065,0.43377876,0.04
ssp119,2045,2075,0.65597785,0.02
ssp119,2045,2085,0.4217648,0.05
ssp119,2055,2065,0.45596582,0.0
ssp119,2055,2075,0.4148301,0.0
ssp119,2055,2085,0.5342633,0.13
ssp119,2065,2075,0.49895862,0.0
ssp119,2065,2085,0.5096613,0.02
ssp119,2075,2085,0.484313,0.0
ssp126,2015,2025,0.5967574,0.0
ssp126,2015,2035,0.4656247,0.05
ssp126,2015,2045,0.47992596,0.19
ssp126,2015,2055,0.46289688,0.0
ssp126,2015,2065,0.5152827,0.03
ssp126,2015,2075,0.7023378,0.02
ssp126,2015,2085,0.42563108,0.05
ssp126,2025,2035,0.44833505,0.0
ssp126,2025,2045,0.6398272,0.0
ssp126,2025,2055,0.52052534,0.08
ssp126,2025,2065,0.39898312,0.02
ssp126,2025,2075,0.5110329,0.1
ssp126,2025,2085,0.4143275,0.08
ssp126,2035,2045,0.52687305,0.0
ssp126,2035,2055,0.5811158,0.05
ssp126,2035,2065,0.42399323,0.12
ssp126,2035,2075,0.673374,0.06
ssp126,2035,2085,0.52830803,0.13
ssp126,2045,2055,0.55023193,0.06
ssp126,2045,2065,0.5445135,0.0
ssp126,2045,2075,0.57132804,0.06
ssp126,2045,2085,0.54331446,0.11
ssp126,2055,2065,0.5235596,0.01
ssp126,2055,2075,0.5695509,0.01
ssp126,2055,2085,0.6800837,0.05
ssp126,2065,2075,0.62491494,0.01
ssp126,2065,2085,0.5147232,0.06
ssp126,2075,2085,0.5519893,0.0
