early_yr,late_yr,scenario,mean_pred,accuracy,test_indices
2015,2025,ssp119,0.45729253,0.8,"477, 364, 195, 330, 177, 114, 245, 345, 110, 428, 214, 368, 63, 193, 337, 19, 241, 36, 101, 159, 221, 325, 167, 467, 362, 203, 80, 336, 255, 218, 2, 246, 185, 92, 394, 194, 118, 479, 51, 57, 452, 396, 116, 391, 107, 416, 251, 132, 11, 290"
2015,2035,ssp119,0.4385564,0.9,"304, 237, 312, 490, 37, 36, 438, 253, 363, 74, 399, 175, 235, 100, 324, 80, 296, 360, 470, 209, 94, 421, 418, 275, 292, 65, 127, 295, 407, 498, 200, 408, 89, 79, 441, 429, 73, 358, 271, 313, 374, 223, 210, 22, 331, 161, 247, 467, 225, 250"
2015,2045,ssp119,0.46816722,0.92,"301, 102, 387, 62, 170, 184, 349, 51, 472, 494, 253, 287, 440, 116, 107, 100, 348, 23, 77, 150, 330, 44, 474, 469, 41, 182, 84, 312, 147, 144, 125, 326, 108, 290, 136, 286, 90, 83, 341, 446, 251, 45, 70, 99, 374, 40, 233, 371, 281, 223"
2015,2055,ssp119,0.4715831,0.98,"277, 336, 305, 369, 266, 168, 231, 364, 487, 139, 309, 325, 273, 98, 422, 300, 433, 440, 272, 490, 104, 368, 158, 248, 131, 69, 462, 217, 199, 389, 232, 2, 110, 396, 34, 186, 394, 430, 228, 16, 67, 404, 474, 249, 379, 486, 95, 246, 444, 492"
2015,2065,ssp119,0.46916074,0.94,"151, 400, 340, 72, 410, 12, 397, 449, 307, 353, 233, 371, 407, 493, 242, 350, 26, 362, 326, 271, 159, 202, 396, 67, 433, 315, 334, 164, 11, 257, 71, 455, 141, 298, 31, 261, 27, 42, 70, 238, 54, 494, 310, 332, 464, 167, 437, 330, 358, 152"
2015,2075,ssp119,0.4808907,0.98,"452, 36, 335, 171, 22, 416, 93, 492, 108, 115, 212, 200, 229, 27, 86, 181, 437, 189, 71, 88, 99, 285, 370, 408, 51, 165, 126, 188, 321, 313, 257, 214, 277, 136, 84, 125, 55, 402, 384, 449, 353, 82, 421, 254, 280, 334, 443, 331, 490, 349"
2015,2085,ssp119,0.5183146,0.98,"498, 50, 435, 47, 87, 323, 6, 126, 447, 414, 263, 38, 326, 172, 160, 405, 466, 454, 353, 217, 60, 174, 349, 181, 85, 333, 309, 410, 330, 211, 427, 320, 417, 351, 53, 145, 51, 497, 42, 91, 270, 158, 369, 104, 325, 84, 484, 92, 108, 361"
2025,2035,ssp119,0.5931708,0.68,"458, 432, 60, 400, 347, 475, 398, 288, 52, 91, 2, 47, 416, 155, 238, 210, 148, 356, 488, 340, 113, 327, 467, 195, 164, 39, 37, 249, 336, 434, 74, 68, 66, 392, 343, 232, 422, 464, 482, 243, 471, 192, 49, 495, 376, 415, 29, 390, 303, 78"
2025,2045,ssp119,0.3790988,0.84,"41, 128, 20, 169, 491, 218, 102, 100, 372, 219, 206, 232, 119, 75, 235, 277, 390, 433, 34, 396, 254, 105, 22, 443, 38, 358, 345, 380, 157, 212, 80, 402, 466, 493, 499, 161, 5, 270, 173, 180, 226, 221, 78, 178, 197, 166, 51, 68, 225, 324"
2025,2055,ssp119,0.41920844,0.86,"115, 379, 172, 218, 116, 122, 15, 494, 269, 135, 250, 365, 143, 414, 113, 128, 450, 424, 237, 330, 266, 225, 25, 419, 458, 474, 477, 306, 466, 268, 165, 288, 408, 59, 381, 345, 134, 358, 385, 347, 171, 104, 312, 327, 270, 444, 374, 192, 352, 296"
