early_yr,late_yr,scenario,mean_pred,accuracy,test_indices
2015,2025,ssp119,0.49275857,0.82,"49, 46, 61, 136, 482, 252, 357, 443, 150, 326, 269, 498, 242, 112, 484, 48, 247, 55, 411, 111, 29, 199, 382, 99, 92, 286, 83, 6, 439, 240, 294, 119, 1, 231, 463, 217, 17, 470, 479, 475, 309, 13, 68, 458, 153, 467, 63, 237, 126, 420"
2015,2035,ssp119,0.53072345,0.86,"407, 25, 132, 415, 129, 455, 247, 220, 170, 402, 350, 365, 441, 460, 66, 114, 85, 37, 377, 128, 70, 204, 154, 112, 270, 266, 342, 480, 169, 417, 88, 469, 55, 57, 313, 238, 108, 330, 63, 152, 452, 143, 50, 58, 466, 436, 259, 44, 320, 205"
2015,2045,ssp119,0.5407853,0.88,"349, 3, 14, 192, 99, 115, 438, 362, 491, 97, 391, 360, 282, 368, 363, 276, 171, 17, 133, 187, 423, 252, 213, 57, 392, 305, 223, 175, 56, 320, 410, 441, 244, 390, 240, 473, 33, 129, 27, 68, 230, 39, 163, 232, 378, 400, 50, 449, 277, 234"
2015,2055,ssp119,0.45066372,0.86,"139, 406, 186, 489, 297, 176, 455, 466, 291, 30, 68, 221, 253, 357, 117, 426, 35, 215, 298, 372, 157, 26, 324, 315, 100, 8, 409, 431, 265, 439, 211, 75, 326, 169, 304, 405, 286, 93, 209, 43, 134, 316, 67, 380, 79, 181, 254, 95, 403, 467"
2015,2065,ssp119,0.5936554,0.9,"18, 43, 49, 154, 347, 138, 143, 267, 301, 284, 416, 307, 90, 196, 321, 425, 92, 68, 65, 125, 257, 458, 130, 384, 175, 298, 415, 126, 118, 139, 185, 40, 496, 236, 248, 47, 333, 468, 158, 495, 57, 162, 426, 454, 104, 287, 192, 369, 451, 332"
2015,2075,ssp119,0.43696713,0.76,"291, 237, 267, 32, 125, 17, 196, 459, 55, 303, 143, 30, 236, 6, 187, 162, 247, 368, 124, 15, 249, 122, 394, 479, 404, 264, 191, 61, 90, 156, 331, 418, 254, 227, 150, 487, 363, 302, 330, 476, 403, 20, 278, 354, 317, 415, 228, 273, 377, 190"
2015,2085,ssp119,0.45975232,0.96,"241, 371, 222, 266, 310, 240, 409, 430, 464, 322, 254, 87, 465, 211, 382, 293, 447, 246, 377, 472, 207, 294, 106, 452, 481, 127, 17, 307, 41, 262, 370, 79, 404, 142, 94, 153, 323, 116, 70, 402, 427, 282, 348, 75, 462, 182, 288, 331, 217, 469"
2025,2035,ssp119,0.5028783,0.56,"41, 4, 193, 478, 385, 12, 414, 333, 98, 132, 166, 387, 155, 428, 217, 196, 35, 145, 264, 173, 376, 305, 153, 326, 323, 73, 492, 256, 332, 426, 125, 282, 313, 149, 459, 476, 237, 314, 392, 371, 138, 231, 105, 150, 165, 97, 226, 250, 5, 199"
2025,2045,ssp119,0.5682645,0.5,"396, 199, 420, 220, 409, 433, 444, 486, 397, 136, 209, 5, 105, 95, 44, 237, 445, 146, 497, 165, 375, 7, 487, 432, 353, 499, 83, 258, 391, 414, 157, 55, 248, 273, 175, 279, 194, 399, 119, 228, 173, 46, 219, 99, 438, 255, 204, 413, 210, 86"
2025,2055,ssp119,0.51021147,0.98,"269, 317, 282, 224, 445, 248, 163, 301, 91, 447, 171, 288, 104, 2, 330, 119, 484, 333, 304, 53, 56, 11, 61, 219, 76, 453, 218, 360, 455, 302, 307, 350, 398, 26, 395, 204, 251, 481, 294, 305, 476, 354, 47, 138, 342, 193, 289, 175, 135, 432"
