scenario,early_yr,late_yr,mean_pred,accuracy,test_indices
ssp119,2015,2025,0.5680438,0.78,"273, 478, 104, 158, 177, 28, 269, 233, 234, 208, 166, 229, 18, 399, 252, 201, 7, 495, 329, 414, 433, 99, 135, 468, 368, 190, 423, 447, 457, 73, 428, 425, 398, 499, 332, 36, 282, 181, 483, 291, 359, 292, 117, 213, 34, 437, 180, 143, 316, 253"
ssp119,2015,2035,0.52616817,0.9,"145, 187, 9, 280, 309, 410, 114, 347, 29, 449, 81, 125, 217, 278, 121, 126, 306, 92, 147, 425, 181, 377, 258, 136, 479, 394, 482, 472, 297, 301, 284, 452, 333, 190, 379, 373, 48, 24, 0, 274, 165, 259, 161, 141, 288, 305, 358, 308, 52, 315"
ssp119,2015,2045,0.4944428,0.94,"18, 273, 450, 462, 231, 285, 381, 135, 332, 401, 353, 429, 321, 277, 13, 223, 165, 431, 248, 467, 359, 123, 366, 116, 426, 455, 67, 200, 350, 312, 327, 20, 81, 174, 146, 482, 70, 286, 258, 119, 50, 33, 16, 191, 440, 47, 73, 212, 262, 164"
ssp119,2015,2055,0.52240694,0.98,"60, 274, 254, 482, 177, 44, 273, 285, 153, 149, 426, 375, 387, 486, 205, 72, 455, 281, 14, 36, 88, 34, 436, 353, 142, 13, 449, 313, 400, 360, 494, 222, 440, 78, 76, 304, 306, 477, 310, 145, 41, 347, 109, 186, 46, 175, 29, 79, 461, 239"
ssp119,2015,2065,0.74,0.64,"436, 359, 413, 493, 185, 369, 62, 327, 316, 412, 147, 44, 202, 115, 379, 250, 269, 452, 77, 362, 80, 15, 442, 54, 471, 363, 221, 343, 138, 304, 377, 140, 284, 383, 266, 289, 399, 6, 67, 214, 388, 41, 247, 385, 123, 439, 330, 210, 315, 486"
ssp119,2015,2075,0.5051229,0.96,"197, 323, 112, 170, 229, 337, 9, 344, 421, 428, 209, 471, 56, 382, 55, 342, 433, 496, 456, 233, 34, 442, 65, 299, 492, 309, 236, 160, 139, 441, 399, 384, 259, 10, 106, 407, 99, 489, 68, 261, 103, 92, 404, 357, 296, 356, 242, 8, 189, 67"
ssp119,2015,2085,0.64545965,0.48,"287, 1, 50, 218, 294, 228, 499, 208, 255, 15, 37, 257, 73, 106, 359, 41, 428, 261, 127, 84, 271, 304, 286, 227, 327, 444, 54, 324, 71, 111, 487, 358, 369, 404, 110, 430, 120, 55, 95, 53, 280, 213, 96, 200, 377, 20, 186, 233, 22, 376"
ssp119,2025,2035,0.54875803,0.48,"43, 285, 283, 370, 446, 241, 34, 349, 200, 24, 77, 402, 193, 419, 287, 496, 109, 197, 426, 369, 18, 375, 159, 196, 389, 254, 157, 436, 486, 403, 314, 380, 119, 58, 49, 424, 132, 50, 156, 438, 384, 433, 284, 133, 194, 225, 330, 388, 242, 451"
ssp119,2025,2045,0.6031695,0.62,"323, 119, 2, 170, 420, 446, 262, 85, 409, 77, 57, 185, 261, 367, 336, 75, 200, 357, 13, 70, 293, 468, 184, 321, 236, 391, 205, 366, 238, 427, 47, 368, 434, 243, 361, 29, 363, 196, 229, 79, 396, 194, 233, 318, 33, 375, 359, 123, 405, 445"
ssp119,2025,2055,0.50163203,0.76,"54, 384, 77, 319, 176, 322, 129, 43, 46, 488, 125, 103, 106, 350, 44, 340, 378, 470, 105, 498, 396, 395, 265, 355, 195, 398, 394, 59, 335, 347, 247, 492, 90, 414, 87, 144, 457, 499, 310, 389, 14, 306, 286, 152, 201, 309, 27, 240, 135, 132"
ssp119,2025,2065,0.4596666,0.48,"55, 306, 82, 456, 46, 196, 343, 376, 362, 299, 43, 15, 201, 200, 354, 212, 232, 370, 405, 348, 223, 480, 291, 443, 361, 120, 329, 301, 399, 24, 115, 247, 492, 253, 267, 121, 103, 488, 471, 454, 111, 252, 140, 274, 395, 310, 167, 218, 175, 466"
ssp119,2025,2075,0.51942194,0.82,"5, 96, 340, 140, 185, 454, 329, 61, 430, 248, 65, 171, 462, 128, 132, 245, 334, 291, 144, 137, 223, 158, 479, 472, 444, 69, 399, 68, 178, 470, 40, 377, 229, 395, 441, 362, 94, 448, 244, 237, 445, 389, 499, 443, 156, 318, 117, 26, 282, 266"
ssp119,2025,2085,0.4270708,0.82,"65, 461, 361, 293, 486, 320, 473, 220, 169, 74, 267, 126, 151, 460, 411, 137, 443, 70, 118, 472, 424, 85, 301, 178, 107, 457, 120, 249, 383, 445, 231, 140, 20, 47, 344, 55, 422, 333, 227, 414, 87, 276, 83, 294, 392, 463, 21, 468, 444, 428"
ssp119,2035,2045,0.48137704,0.66,"0, 127, 464, 272, 140, 213, 393, 129, 229, 259, 20, 358, 27, 452, 97, 233, 136, 168, 148, 98, 487, 439, 266, 228, 122, 326, 211, 246, 124, 110, 41, 320, 120, 499, 354, 423, 179, 252, 31, 173, 177, 292, 373, 291, 260, 234, 275, 174, 92, 365"
ssp119,2035,2055,0.5909877,0.7,"175, 29, 32, 48, 490, 475, 386, 393, 349, 277, 71, 154, 446, 104, 350, 156, 255, 3, 296, 414, 202, 261, 382, 441, 443, 210, 433, 448, 11, 41, 216, 229, 198, 340, 205, 292, 394, 88, 137, 301, 162, 196, 157, 495, 169, 413, 190, 341, 23, 259"
ssp119,2035,2065,0.49959096,0.74,"141, 277, 499, 209, 385, 367, 102, 217, 158, 311, 215, 55, 428, 216, 37, 288, 28, 396, 359, 394, 143, 251, 235, 27, 262, 162, 52, 248, 43, 299, 75, 78, 175, 3, 421, 441, 335, 104, 74, 5, 483, 426, 358, 24, 279, 159, 492, 433, 378, 134"
ssp119,2035,2075,0.46536735,0.84,"441, 442, 427, 448, 96, 147, 454, 208, 16, 51, 38, 458, 231, 255, 42, 436, 301, 52, 496, 71, 314, 215, 372, 114, 108, 383, 89, 104, 7, 280, 59, 207, 250, 476, 168, 166, 321, 273, 323, 479, 127, 388, 447, 486, 57, 22, 281, 79, 261, 146"
ssp119,2035,2085,0.4683356,0.86,"301, 167, 144, 8, 456, 300, 23, 267, 5, 154, 174, 486, 401, 371, 213, 122, 45, 193, 148, 181, 466, 306, 451, 255, 84, 197, 356, 103, 245, 444, 328, 225, 402, 232, 336, 274, 391, 319, 260, 44, 9, 309, 295, 363, 388, 270, 269, 124, 457, 291"
ssp119,2045,2055,0.5232824,0.56,"390, 371, 78, 307, 53, 429, 358, 308, 362, 264, 364, 462, 1, 352, 199, 76, 48, 37, 133, 221, 200, 347, 399, 65, 356, 460, 432, 290, 112, 146, 98, 314, 478, 252, 265, 102, 414, 426, 227, 479, 431, 268, 69, 121, 448, 423, 338, 21, 4, 85"
ssp119,2045,2065,0.4609193,0.7,"429, 421, 197, 237, 114, 127, 493, 26, 456, 465, 344, 222, 261, 478, 254, 422, 129, 314, 171, 343, 98, 207, 334, 372, 166, 182, 209, 99, 308, 195, 481, 413, 74, 120, 268, 437, 380, 32, 16, 335, 173, 406, 215, 381, 80, 272, 78, 159, 119, 466"
ssp119,2045,2075,0.4897097,0.74,"130, 406, 499, 191, 474, 18, 432, 435, 121, 283, 202, 280, 125, 151, 145, 412, 233, 422, 360, 391, 19, 437, 58, 184, 456, 28, 279, 215, 89, 277, 25, 471, 159, 248, 246, 266, 204, 415, 261, 61, 78, 430, 156, 43, 3, 453, 180, 276, 98, 431"
ssp119,2045,2085,0.43623084,0.78,"363, 497, 456, 490, 292, 24, 448, 469, 357, 495, 496, 491, 329, 459, 33, 149, 432, 143, 128, 287, 2, 181, 257, 36, 34, 285, 63, 288, 449, 415, 133, 110, 131, 462, 87, 471, 343, 425, 380, 348, 382, 360, 107, 32, 43, 54, 7, 79, 330, 327"
ssp119,2055,2065,0.5040729,0.48,"85, 499, 454, 255, 133, 24, 309, 291, 290, 287, 72, 127, 448, 386, 107, 288, 388, 83, 270, 463, 121, 416, 104, 217, 303, 114, 17, 350, 340, 52, 491, 106, 82, 90, 330, 77, 479, 343, 155, 453, 374, 409, 406, 328, 1, 392, 307, 208, 117, 39"
ssp119,2055,2075,0.44742587,0.62,"414, 371, 454, 33, 379, 363, 201, 251, 441, 378, 436, 6, 126, 361, 47, 10, 22, 208, 224, 15, 71, 118, 344, 376, 173, 394, 478, 306, 417, 484, 274, 346, 13, 477, 186, 46, 81, 77, 354, 358, 372, 26, 178, 226, 431, 159, 11, 242, 352, 82"
ssp119,2055,2085,0.46280876,0.46,"433, 86, 390, 127, 224, 119, 484, 236, 83, 304, 483, 50, 35, 405, 307, 356, 255, 361, 18, 320, 12, 84, 58, 114, 43, 278, 398, 362, 330, 348, 226, 65, 130, 466, 267, 266, 443, 6, 259, 145, 53, 313, 310, 364, 355, 90, 1, 93, 412, 173"
ssp119,2065,2075,0.64596397,0.5,"94, 65, 328, 191, 272, 50, 239, 259, 490, 269, 291, 170, 360, 69, 311, 209, 44, 41, 334, 321, 280, 201, 236, 307, 9, 346, 135, 187, 42, 317, 71, 253, 131, 263, 217, 63, 487, 283, 133, 175, 17, 363, 482, 405, 454, 117, 310, 37, 18, 365"
ssp119,2065,2085,0.49341354,0.44,"311, 64, 250, 141, 1, 478, 7, 378, 385, 382, 371, 427, 9, 85, 294, 424, 217, 297, 450, 46, 288, 59, 140, 414, 286, 298, 202, 37, 494, 197, 103, 254, 487, 292, 287, 142, 238, 418, 19, 270, 56, 497, 434, 429, 341, 22, 118, 221, 366, 26"
ssp119,2075,2085,0.6441403,0.46,"65, 257, 80, 453, 299, 204, 66, 28, 288, 354, 345, 148, 73, 272, 280, 11, 69, 495, 328, 461, 445, 103, 430, 114, 58, 418, 252, 310, 15, 77, 467, 54, 10, 219, 202, 409, 361, 347, 72, 490, 157, 129, 318, 43, 249, 59, 136, 313, 399, 225"
