scenario,early,late,mean_pred,accuracy
ssp119,2015,2025,0.55287004,0.5
ssp119,2025,2035,0.43915644,0.5
ssp119,2035,2045,0.58158517,0.5
ssp119,2045,2055,0.5642687,0.5
ssp119,2055,2065,0.616655,0.5
ssp119,2065,2075,0.5700456,0.5
ssp119,2015,2035,0.48486564,0.5
ssp119,2025,2045,0.45163307,0.5
ssp119,2035,2055,0.51114345,0.5
ssp119,2045,2065,0.5839521,0.5
ssp119,2055,2075,0.5093683,0.5
ssp119,2015,2045,0.4862811,0.5
ssp119,2025,2055,0.4948362,0.5
ssp119,2035,2065,0.4707464,0.5
ssp119,2045,2075,0.4654516,0.5
ssp119,2015,2055,0.48104584,0.5
ssp119,2025,2065,0.4875827,0.5
ssp119,2035,2075,0.454028,0.5
ssp119,2015,2065,0.46090764,0.5
ssp119,2025,2075,0.4768436,0.5
ssp119,2015,2075,0.4757373,0.5
ssp126,2015,2025,0.503215,0.5
ssp126,2025,2035,0.4642499,0.5
ssp126,2035,2045,0.36498109,0.5
ssp126,2045,2055,0.54037744,0.5
ssp126,2055,2065,0.47788888,0.5
ssp126,2065,2075,0.53818023,0.5
ssp126,2015,2035,0.5374645,0.5
ssp126,2025,2045,0.49345544,0.5
ssp126,2035,2055,0.5223473,0.5
ssp126,2045,2065,0.5244396,0.5
ssp126,2055,2075,0.56530416,0.5
ssp126,2015,2045,0.5007719,0.5
ssp126,2025,2055,0.47625926,0.5
ssp126,2035,2065,0.5268572,0.5
ssp126,2045,2075,0.49330047,0.5
ssp126,2015,2055,0.5007701,0.5
ssp126,2025,2065,0.5477666,0.5
ssp126,2035,2075,0.5355694,0.5
ssp126,2015,2065,0.5000017,0.5
ssp126,2025,2075,0.5317372,0.5
ssp126,2015,2075,0.5000009,0.5
