scenario,early_yr,late_yr,mean_pred,accuracy
ssp119,2015,2025,0.5135104,0.76
ssp119,2015,2035,0.56673986,0.84
ssp119,2015,2045,0.4671244,0.88
ssp119,2015,2055,0.51521444,0.98
ssp119,2015,2065,0.5132907,0.98
ssp119,2015,2075,0.48020828,0.94
ssp119,2015,2085,0.49898896,1.0
ssp119,2015,2095,0.49457273,0.96
ssp119,2025,2035,0.44634858,0.52
ssp119,2025,2045,0.4896323,0.8
ssp119,2025,2055,0.49164227,0.86
ssp119,2025,2065,0.51433784,0.96
ssp119,2025,2075,0.50917554,0.94
ssp119,2025,2085,0.52467614,0.96
ssp119,2025,2095,0.50724787,0.94
ssp119,2035,2045,0.5008267,0.46
ssp119,2035,2055,0.54167,0.76
ssp119,2035,2065,0.51696455,0.74
ssp119,2035,2075,0.4839262,0.94
ssp119,2035,2085,0.52055496,0.9
ssp119,2035,2095,0.52485496,0.88
ssp119,2045,2055,0.50294006,0.72
ssp119,2015,2025,0.4631893,0.78
ssp119,2015,2035,0.5215279,0.92
ssp119,2015,2045,0.5048058,1.0
ssp119,2015,2055,0.4974198,1.0
ssp119,2015,2065,0.49960554,1.0
ssp119,2015,2075,0.54076993,0.96
ssp119,2015,2085,0.51670927,1.0
ssp119,2015,2095,0.49240005,1.0
ssp119,2025,2035,0.47502583,0.66
ssp119,2025,2045,0.44046363,0.78
ssp119,2025,2055,0.4617936,0.88
ssp119,2025,2065,0.49326637,0.94
ssp119,2025,2075,0.5022473,0.98
ssp119,2025,2085,0.5168908,0.98
ssp119,2025,2095,0.4904848,0.94
ssp119,2035,2045,0.50906545,0.5
ssp119,2035,2055,0.49802125,0.68
ssp119,2035,2065,0.49895787,0.9
ssp119,2035,2075,0.4712381,0.86
ssp119,2035,2085,0.481969,0.94
ssp119,2035,2095,0.4816636,0.96
ssp119,2045,2055,0.45722577,0.68
ssp119,2045,2065,0.5419006,0.72
ssp119,2045,2075,0.5815983,0.9
ssp119,2045,2085,0.46791258,0.96
ssp119,2045,2095,0.5050217,0.94
ssp119,2055,2065,0.51023656,0.64
ssp119,2055,2075,0.47063243,0.7
ssp119,2055,2085,0.5383052,0.88
ssp119,2055,2095,0.3735532,0.86
ssp119,2065,2075,0.5054252,0.62
ssp119,2065,2085,0.47875038,0.76
ssp119,2065,2095,0.46081975,0.88
ssp119,2075,2085,0.5052702,0.54
ssp119,2075,2095,0.40961698,0.78
ssp119,2085,2095,0.5612525,0.66
ssp126,2015,2025,0.4494993,0.84
ssp126,2015,2035,0.45124447,0.96
ssp126,2015,2045,0.4698925,0.98
ssp126,2015,2055,0.4874115,0.98
ssp126,2015,2065,0.47500888,0.98
ssp126,2015,2075,0.49975464,1.0
ssp126,2015,2085,0.4816009,0.98
