scenario,early_yr,late_yr,mean_pred,accuracy
ssp119,2015,2025,0.44074288,0.82
ssp119,2015,2025,0.47133505,0.84
ssp119,2025,2035,0.47220895,0.64
ssp119,2035,2045,0.55198187,0.54
ssp119,2045,2055,0.45380077,0.64
ssp119,2055,2065,0.5581069,0.62
ssp119,2065,2075,0.5716127,0.56
ssp119,2075,2085,0.51246566,0.52
ssp126,2015,2025,0.46130884,0.8
ssp126,2025,2035,0.50349766,0.68
ssp126,2035,2045,0.5331088,0.66
ssp126,2045,2055,0.56976503,0.66
ssp126,2055,2065,0.5176692,0.5
ssp126,2065,2075,0.56637746,0.74
ssp126,2075,2085,0.44116616,0.56
