scenario,early,late,mean_pred
ssp119,2015,2025,0.5904949
ssp119,2015,2035,0.5112184
ssp119,2015,2045,0.5631992
ssp119,2015,2055,0.47023776
ssp119,2015,2065,0.489292
ssp119,2015,2075,0.5199465
ssp119,2015,2085,0.5111003
ssp119,2025,2035,0.64280295
ssp119,2025,2045,0.5146366
ssp119,2025,2055,0.52833676
ssp119,2025,2065,0.4526611
ssp119,2025,2075,0.49944955
ssp119,2025,2085,0.5182817
ssp119,2035,2045,0.49788585
ssp119,2035,2055,0.43570215
ssp119,2035,2065,0.541231
ssp119,2035,2075,0.48677567
ssp119,2035,2085,0.49598137
ssp119,2045,2055,0.5892572
ssp119,2045,2065,0.5759158
ssp119,2045,2075,0.44647372
ssp119,2045,2085,0.54902524
ssp119,2055,2065,0.5152367
ssp119,2055,2075,0.49814942
ssp119,2055,2085,0.42014706
ssp119,2065,2075,0.47840732
ssp119,2065,2085,0.50734204
ssp119,2075,2085,0.49322724
ssp126,2015,2025,0.43115044
ssp126,2015,2035,0.41910216
ssp126,2015,2045,0.49787605
ssp126,2015,2055,0.5058695
ssp126,2015,2065,0.49750152
ssp126,2015,2075,0.52015525
ssp126,2015,2085,0.50001436
ssp126,2025,2035,0.5884506
ssp126,2025,2045,0.42453286
ssp126,2025,2055,0.5244562
ssp126,2025,2065,0.5020835
ssp126,2025,2075,0.51283294
ssp126,2025,2085,0.5241723
ssp126,2035,2045,0.46009064
ssp126,2035,2055,0.48099378
ssp126,2035,2065,0.52366966
ssp126,2035,2075,0.49449742
ssp126,2035,2085,0.5000044
ssp126,2045,2055,0.637533
ssp126,2045,2065,0.59299475
ssp126,2045,2075,0.51164794
ssp126,2045,2085,0.49406213
ssp126,2055,2065,0.46727931
ssp126,2055,2075,0.4962059
ssp126,2055,2085,0.46060744
ssp126,2065,2075,0.46648163
ssp126,2065,2085,0.5163673
ssp126,2075,2085,0.4990214
