scenario,early,late,mean_pred,accuracy
ssp119,2015,2025,0.5723079,"[[1.0916352e-02 9.9999005e-01 7.5954199e-04 ... 4.2915344e-06
  9.9990225e-01 9.9687469e-01]
 [9.8908365e-01 9.9484159e-06 9.9924046e-01 ... 9.9999571e-01
  9.7723787e-05 3.1253255e-03]
 [1.0916352e-02 9.9999005e-01 7.5954199e-04 ... 4.2915344e-06
  9.9990225e-01 9.9687469e-01]
 ...
 [1.0916352e-02 9.9999005e-01 7.5954199e-04 ... 4.2915344e-06
  9.9990225e-01 9.9687469e-01]
 [9.8908365e-01 9.9484159e-06 9.9924046e-01 ... 9.9999571e-01
  9.7723787e-05 3.1253255e-03]
 [9.8908365e-01 9.9484159e-06 9.9924046e-01 ... 9.9999571e-01
  9.7723787e-05 3.1253255e-03]]"
ssp119,2015,2035,0.5046134,"[[0.00320816 0.9538067  0.00197977 ... 0.00161862 0.97895586 0.7814285 ]
 [0.99679184 0.0461933  0.99802023 ... 0.9983814  0.02104414 0.21857148]
 [0.00320816 0.9538067  0.00197977 ... 0.00161862 0.97895586 0.7814285 ]
 ...
 [0.00320816 0.9538067  0.00197977 ... 0.00161862 0.97895586 0.7814285 ]
 [0.99679184 0.0461933  0.99802023 ... 0.9983814  0.02104414 0.21857148]
 [0.99679184 0.0461933  0.99802023 ... 0.9983814  0.02104414 0.21857148]]"
ssp119,2015,2045,0.5022185,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0000000e+00
  1.0000000e+00 1.6093254e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0000000e+00
  1.0000000e+00 1.6093254e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0000000e+00
  1.0000000e+00 1.6093254e-06]
 ...
 [1.0000000e+00 1.0000000e+00 1.0000000e+00 ... 2.0165432e-09
  2.6551894e-09 9.9999839e-01]
 [1.0000000e+00 1.0000000e+00 1.0000000e+00 ... 2.0165432e-09
  2.6551894e-09 9.9999839e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0000000e+00
  1.0000000e+00 1.6093254e-06]]"
ssp119,2015,2055,0.52318877,"[[0.0000000e+00 9.9953973e-01 9.9997365e-01 ... 1.0000000e+00
  0.0000000e+00 9.9967611e-01]
 [1.0000000e+00 4.6027012e-04 2.6352063e-05 ... 2.7925266e-08
  1.0000000e+00 3.2389132e-04]
 [1.0000000e+00 4.6027012e-04 2.6352063e-05 ... 2.7925266e-08
  1.0000000e+00 3.2389132e-04]
 ...
 [1.0000000e+00 4.6027012e-04 2.6352063e-05 ... 2.7925266e-08
  1.0000000e+00 3.2389132e-04]
 [0.0000000e+00 9.9953973e-01 9.9997365e-01 ... 1.0000000e+00
  0.0000000e+00 9.9967611e-01]
 [1.0000000e+00 4.6027012e-04 2.6352063e-05 ... 2.7925266e-08
  1.0000000e+00 3.2389132e-04]]"
ssp119,2015,2065,0.48540488,"[[2.0243427e-13 1.0000000e+00 9.9997807e-01 ... 1.0000000e+00
  1.0000000e+00 8.4832419e-10]
 [1.0000000e+00 0.0000000e+00 2.1934509e-05 ... 0.0000000e+00
  0.0000000e+00 1.0000000e+00]
 [1.0000000e+00 0.0000000e+00 2.1934509e-05 ... 0.0000000e+00
  0.0000000e+00 1.0000000e+00]
 ...
 [1.0000000e+00 0.0000000e+00 2.1934509e-05 ... 0.0000000e+00
  0.0000000e+00 1.0000000e+00]
 [1.0000000e+00 0.0000000e+00 2.1934509e-05 ... 0.0000000e+00
  0.0000000e+00 1.0000000e+00]
 [2.0243427e-13 1.0000000e+00 9.9997807e-01 ... 1.0000000e+00
  1.0000000e+00 8.4832419e-10]]"
ssp119,2015,2075,0.5367825,"[[2.5194883e-04 9.9990088e-01 5.8895350e-04 ... 9.9990928e-01
  1.7106533e-05 1.5377998e-05]
 [9.9974805e-01 9.9100092e-05 9.9941105e-01 ... 9.0704954e-05
  9.9998289e-01 9.9998462e-01]
 [2.5194883e-04 9.9990088e-01 5.8895350e-04 ... 9.9990928e-01
  1.7106533e-05 1.5377998e-05]
 ...
 [9.9974805e-01 9.9100092e-05 9.9941105e-01 ... 9.0704954e-05
  9.9998289e-01 9.9998462e-01]
 [2.5194883e-04 9.9990088e-01 5.8895350e-04 ... 9.9990928e-01
  1.7106533e-05 1.5377998e-05]
 [2.5194883e-04 9.9990088e-01 5.8895350e-04 ... 9.9990928e-01
  1.7106533e-05 1.5377998e-05]]"
ssp119,2015,2085,0.50000155,"[[1.0476154e-07 7.9095769e-13 1.0000000e+00 ... 1.0000000e+00
  1.0000000e+00 1.5495598e-08]
 [1.0476154e-07 7.9095769e-13 1.0000000e+00 ... 1.0000000e+00
  1.0000000e+00 1.5495598e-08]
 [9.9999988e-01 1.0000000e+00 0.0000000e+00 ... 0.0000000e+00
  0.0000000e+00 1.0000000e+00]
 ...
 [9.9999988e-01 1.0000000e+00 0.0000000e+00 ... 0.0000000e+00
  0.0000000e+00 1.0000000e+00]
 [9.9999988e-01 1.0000000e+00 0.0000000e+00 ... 0.0000000e+00
  0.0000000e+00 1.0000000e+00]
 [1.0476154e-07 7.9095769e-13 1.0000000e+00 ... 1.0000000e+00
  1.0000000e+00 1.5495598e-08]]"
ssp119,2025,2035,0.48572952,"[[0.24664308 0.14375106 0.764325   ... 0.8689885  0.6497558  0.46380085]
 [0.75335693 0.856249   0.23567498 ... 0.13101149 0.35024422 0.53619915]
 [0.75335693 0.856249   0.23567498 ... 0.13101149 0.35024422 0.53619915]
 ...
 [0.24664308 0.14375106 0.764325   ... 0.8689885  0.6497558  0.46380085]
 [0.75335693 0.856249   0.23567498 ... 0.13101149 0.35024422 0.53619915]
 [0.24664308 0.14375106 0.764325   ... 0.8689885  0.6497558  0.46380085]]"
ssp119,2025,2045,0.48546287,"[[3.7168282e-01 8.9245908e-02 9.9999994e-01 ... 1.1169667e-01
  7.4999857e-01 9.9981087e-01]
 [3.7168282e-01 8.9245908e-02 9.9999994e-01 ... 1.1169667e-01
  7.4999857e-01 9.9981087e-01]
 [6.2831718e-01 9.1075408e-01 5.9604645e-08 ... 8.8830334e-01
  2.5000143e-01 1.8912554e-04]
 ...
 [3.7168282e-01 8.9245908e-02 9.9999994e-01 ... 1.1169667e-01
  7.4999857e-01 9.9981087e-01]
 [6.2831718e-01 9.1075408e-01 5.9604645e-08 ... 8.8830334e-01
  2.5000143e-01 1.8912554e-04]
 [6.2831718e-01 9.1075408e-01 5.9604645e-08 ... 8.8830334e-01
  2.5000143e-01 1.8912554e-04]]"
ssp119,2025,2055,0.5068546,"[[7.5099841e-03 5.3510867e-04 4.7099188e-02 ... 1.0000000e+00
  9.9997312e-01 9.8618275e-01]
 [7.5099841e-03 5.3510867e-04 4.7099188e-02 ... 1.0000000e+00
  9.9997312e-01 9.8618275e-01]
 [7.5099841e-03 5.3510867e-04 4.7099188e-02 ... 1.0000000e+00
  9.9997312e-01 9.8618275e-01]
 ...
 [9.9248999e-01 9.9946487e-01 9.5290083e-01 ... 0.0000000e+00
  2.6881695e-05 1.3817251e-02]
 [9.9248999e-01 9.9946487e-01 9.5290083e-01 ... 0.0000000e+00
  2.6881695e-05 1.3817251e-02]
 [9.9248999e-01 9.9946487e-01 9.5290083e-01 ... 0.0000000e+00
  2.6881695e-05 1.3817251e-02]]"
