scenario,early_yr,late_yr,mean_pred,accuracy
ssp119,2015,2025,0.5135104,0.76
ssp119,2015,2035,0.56673986,0.84
ssp119,2015,2045,0.4671244,0.88
ssp119,2015,2055,0.51521444,0.98
ssp119,2015,2065,0.5132907,0.98
ssp119,2015,2075,0.48020828,0.94
ssp119,2015,2085,0.49898896,1.0
ssp119,2015,2095,0.49457273,0.96
ssp119,2025,2035,0.44634858,0.52
ssp119,2025,2045,0.4896323,0.8
ssp119,2025,2055,0.49164227,0.86
ssp119,2025,2065,0.51433784,0.96
ssp119,2025,2075,0.50917554,0.94
ssp119,2025,2085,0.52467614,0.96
ssp119,2025,2095,0.50724787,0.94
ssp119,2035,2045,0.5008267,0.46
ssp119,2035,2055,0.54167,0.76
ssp119,2035,2065,0.51696455,0.74
ssp119,2035,2075,0.4839262,0.94
ssp119,2035,2085,0.52055496,0.9
ssp119,2035,2095,0.52485496,0.88
ssp119,2045,2055,0.50294006,0.72
