scenario,early_yr,late_yr,mean_pred,accuracy,test_indices
ssp119,2015,2025,0.4306989,0.84,"474, 404, 403, 229, 218, 8, 60, 342, 215, 54, 216, 26, 464, 287, 322, 116, 9, 214, 460, 58, 406, 228, 2, 139, 264, 63, 384, 259, 97, 149, 162, 197, 73, 338, 494, 37, 126, 391, 93, 87, 270, 169, 45, 398, 36, 330, 280, 366, 131, 285"
ssp119,2015,2035,0.52836436,0.96,"484, 205, 466, 156, 371, 412, 339, 60, 402, 30, 336, 416, 72, 272, 238, 140, 94, 165, 100, 479, 26, 293, 372, 384, 470, 228, 232, 460, 495, 387, 431, 348, 48, 420, 380, 118, 136, 259, 270, 179, 2, 50, 39, 325, 341, 227, 190, 69, 358, 131"
ssp119,2015,2045,0.57517326,0.96,"253, 442, 150, 372, 18, 51, 439, 339, 186, 152, 481, 248, 396, 201, 27, 106, 13, 374, 0, 255, 212, 309, 170, 431, 420, 127, 191, 391, 352, 232, 156, 458, 385, 215, 318, 261, 209, 469, 355, 202, 227, 466, 475, 44, 71, 394, 140, 236, 125, 461"
ssp119,2015,2055,0.5089198,0.9,"221, 67, 13, 300, 42, 287, 94, 327, 243, 218, 82, 37, 279, 302, 462, 81, 159, 284, 73, 48, 187, 366, 320, 99, 304, 384, 349, 342, 226, 123, 413, 452, 363, 108, 87, 105, 111, 291, 444, 117, 90, 314, 97, 167, 348, 125, 186, 472, 174, 71"
ssp119,2015,2065,0.5092647,0.98,"313, 270, 357, 34, 452, 220, 419, 166, 55, 83, 425, 321, 224, 203, 11, 199, 279, 81, 499, 117, 368, 324, 444, 86, 171, 232, 264, 148, 196, 269, 167, 184, 273, 294, 235, 465, 130, 402, 434, 17, 76, 320, 237, 161, 165, 222, 204, 498, 432, 107"
ssp119,2015,2075,0.54773253,0.88,"217, 293, 415, 326, 237, 88, 238, 483, 477, 482, 3, 430, 496, 52, 290, 214, 469, 323, 178, 132, 179, 12, 363, 158, 420, 168, 175, 405, 364, 181, 433, 490, 117, 36, 212, 462, 422, 442, 473, 393, 247, 325, 195, 444, 63, 25, 75, 1, 295, 412"
ssp119,2015,2085,0.4568122,0.96,"325, 109, 44, 485, 128, 252, 12, 237, 100, 483, 301, 443, 346, 287, 438, 210, 217, 299, 219, 46, 40, 272, 354, 53, 97, 96, 488, 65, 403, 490, 239, 265, 177, 22, 309, 196, 283, 222, 163, 261, 462, 492, 94, 259, 314, 473, 192, 229, 307, 406"
ssp119,2025,2035,0.51416975,0.64,"18, 385, 236, 378, 266, 352, 42, 121, 370, 444, 224, 441, 345, 450, 394, 241, 240, 302, 46, 494, 190, 77, 14, 360, 173, 421, 19, 289, 424, 257, 7, 192, 109, 136, 188, 465, 219, 375, 304, 416, 92, 399, 264, 113, 248, 405, 376, 382, 397, 180"
ssp119,2025,2045,0.5694303,0.56,"117, 29, 217, 170, 116, 356, 15, 193, 190, 36, 479, 261, 75, 197, 120, 269, 292, 316, 93, 443, 26, 81, 382, 50, 209, 111, 246, 222, 322, 366, 274, 367, 302, 252, 73, 404, 65, 67, 473, 224, 44, 257, 31, 245, 406, 173, 144, 7, 153, 344"
ssp119,2025,2055,0.51620376,0.56,"496, 297, 293, 366, 206, 270, 407, 438, 226, 415, 476, 163, 434, 427, 45, 374, 266, 64, 277, 451, 442, 298, 188, 138, 217, 20, 478, 301, 449, 50, 296, 459, 194, 154, 153, 44, 124, 420, 332, 230, 322, 292, 132, 107, 317, 47, 369, 24, 99, 490"
ssp119,2025,2065,0.39749187,0.7,"263, 224, 328, 388, 176, 158, 34, 457, 455, 398, 459, 265, 285, 212, 458, 226, 307, 4, 375, 139, 277, 409, 240, 86, 477, 337, 44, 318, 280, 349, 72, 377, 144, 424, 147, 393, 449, 297, 225, 319, 372, 376, 447, 52, 17, 3, 192, 320, 315, 350"
ssp119,2025,2075,0.47376874,0.98,"197, 116, 496, 362, 30, 357, 396, 316, 176, 370, 118, 468, 427, 284, 105, 246, 470, 244, 85, 401, 102, 320, 263, 317, 337, 96, 222, 380, 430, 112, 218, 398, 53, 13, 254, 11, 24, 160, 307, 8, 486, 10, 242, 181, 56, 194, 110, 285, 371, 59"
ssp119,2025,2085,0.5039758,0.98,"314, 474, 172, 336, 16, 335, 177, 18, 358, 148, 418, 450, 252, 370, 458, 159, 216, 371, 205, 77, 465, 235, 234, 384, 320, 312, 294, 395, 420, 291, 472, 351, 193, 136, 411, 175, 34, 362, 339, 264, 404, 81, 132, 352, 448, 10, 225, 213, 445, 167"
ssp119,2035,2045,0.48791528,0.46,"315, 129, 459, 124, 151, 445, 474, 216, 180, 26, 128, 82, 278, 272, 179, 412, 317, 1, 305, 183, 373, 123, 306, 152, 378, 486, 240, 337, 242, 206, 323, 422, 91, 399, 480, 172, 494, 355, 252, 7, 140, 237, 4, 222, 396, 416, 492, 476, 51, 472"
ssp119,2035,2055,0.4880682,0.7,"496, 122, 91, 174, 33, 297, 147, 75, 285, 65, 264, 335, 394, 355, 25, 116, 283, 443, 131, 140, 358, 219, 40, 186, 267, 390, 3, 24, 217, 12, 102, 260, 406, 340, 399, 418, 256, 251, 210, 361, 136, 51, 381, 61, 238, 307, 129, 82, 266, 407"
ssp119,2035,2065,0.5566847,0.74,"133, 46, 465, 63, 290, 490, 172, 458, 357, 274, 232, 144, 493, 214, 343, 14, 283, 85, 412, 428, 334, 142, 446, 174, 1, 15, 223, 450, 16, 363, 395, 36, 96, 397, 484, 226, 236, 65, 21, 394, 375, 13, 278, 411, 300, 31, 435, 186, 171, 88"
ssp119,2035,2075,0.53607154,0.82,"280, 29, 150, 200, 36, 136, 203, 321, 448, 82, 402, 242, 289, 287, 21, 175, 425, 74, 169, 325, 424, 25, 213, 183, 14, 64, 152, 0, 265, 327, 113, 253, 68, 449, 370, 296, 281, 130, 355, 345, 270, 198, 160, 491, 51, 324, 305, 382, 288, 108"
ssp119,2035,2085,0.52809274,0.96,"448, 190, 289, 151, 276, 182, 449, 229, 155, 39, 376, 22, 332, 477, 111, 423, 72, 36, 156, 380, 113, 168, 338, 456, 273, 345, 106, 439, 361, 148, 327, 43, 307, 208, 174, 375, 489, 483, 51, 63, 121, 336, 347, 451, 452, 228, 482, 52, 122, 304"
ssp119,2045,2055,0.5453705,0.54,"448, 87, 50, 106, 263, 178, 229, 455, 298, 127, 372, 427, 82, 404, 203, 96, 489, 184, 78, 323, 282, 375, 440, 274, 198, 382, 169, 60, 243, 407, 6, 409, 425, 16, 349, 226, 119, 457, 279, 456, 268, 416, 216, 299, 223, 236, 201, 490, 242, 141"
ssp119,2045,2065,0.5324599,0.66,"141, 55, 438, 310, 178, 20, 392, 172, 336, 110, 229, 84, 270, 85, 369, 491, 300, 484, 330, 408, 328, 337, 168, 244, 64, 221, 12, 497, 188, 7, 47, 202, 313, 424, 390, 175, 52, 88, 77, 419, 459, 80, 498, 131, 399, 224, 436, 185, 443, 155"
ssp119,2045,2075,0.47781408,0.68,"52, 361, 396, 266, 23, 37, 263, 342, 209, 91, 460, 144, 146, 332, 364, 289, 285, 337, 163, 359, 414, 145, 47, 335, 461, 189, 107, 368, 11, 270, 179, 277, 217, 216, 143, 20, 482, 303, 496, 448, 466, 36, 121, 426, 147, 25, 458, 370, 486, 475"
ssp119,2045,2085,0.4967442,0.88,"354, 448, 9, 393, 436, 63, 120, 12, 275, 45, 204, 68, 357, 388, 148, 93, 129, 313, 14, 211, 493, 268, 99, 376, 29, 412, 118, 278, 389, 40, 286, 212, 281, 355, 379, 450, 35, 229, 154, 342, 312, 338, 322, 344, 472, 465, 233, 262, 271, 361"
ssp119,2055,2065,0.42863706,0.6,"274, 166, 242, 490, 263, 253, 136, 60, 55, 206, 258, 420, 301, 121, 433, 213, 279, 374, 112, 78, 384, 319, 389, 133, 415, 457, 300, 473, 318, 1, 241, 445, 167, 7, 141, 307, 188, 310, 204, 163, 487, 79, 159, 373, 278, 468, 416, 336, 16, 152"
