scenario,early_yr,late_yr,mean_pred,accuracy,test_indices
ssp119,2015,2025,0.489568,0.92,"124, 330, 47, 51, 115, 325, 33, 371, 148, 2, 393, 462, 198, 137, 206, 370, 207, 109, 260, 441, 55, 381, 369, 100, 155, 473, 349, 443, 4, 460, 348, 309, 74, 488, 73, 273, 432, 341, 388, 162, 158, 480, 499, 0, 110, 456, 424, 358, 164, 419"
ssp119,2015,2035,0.54418135,0.86,"466, 101, 40, 242, 212, 283, 351, 84, 358, 496, 292, 427, 129, 327, 176, 407, 280, 26, 258, 138, 143, 105, 393, 88, 369, 117, 183, 392, 99, 290, 64, 345, 42, 34, 139, 127, 238, 220, 489, 275, 100, 420, 180, 6, 73, 194, 102, 135, 495, 167"
ssp119,2015,2045,0.435085,0.94,"282, 355, 233, 87, 275, 495, 286, 476, 228, 303, 207, 43, 42, 159, 338, 434, 164, 329, 496, 361, 433, 50, 318, 423, 299, 35, 301, 387, 115, 249, 492, 337, 57, 240, 419, 491, 456, 376, 416, 302, 230, 96, 150, 30, 437, 271, 253, 358, 226, 255"
ssp119,2015,2055,0.5032063,0.96,"269, 91, 54, 232, 175, 310, 171, 410, 124, 437, 287, 36, 180, 430, 209, 306, 373, 267, 74, 382, 273, 69, 221, 294, 49, 328, 216, 427, 494, 258, 178, 447, 181, 140, 279, 262, 94, 46, 100, 19, 452, 215, 352, 134, 442, 403, 193, 188, 122, 47"
ssp119,2015,2065,0.50110006,1.0,"36, 323, 29, 206, 123, 429, 138, 230, 326, 368, 404, 367, 80, 25, 327, 174, 386, 272, 213, 383, 340, 241, 158, 485, 26, 409, 316, 98, 96, 90, 390, 364, 473, 287, 314, 242, 373, 121, 371, 132, 190, 264, 345, 177, 224, 184, 413, 494, 488, 63"
ssp119,2015,2075,0.49069828,0.9,"32, 24, 445, 317, 342, 40, 417, 185, 189, 433, 396, 395, 384, 352, 423, 233, 257, 449, 405, 58, 389, 209, 477, 254, 137, 291, 269, 462, 432, 106, 251, 264, 460, 17, 91, 148, 2, 334, 200, 195, 199, 12, 478, 69, 248, 105, 358, 350, 355, 102"
ssp119,2015,2085,0.4972869,0.96,"108, 181, 471, 344, 289, 81, 169, 382, 462, 423, 426, 286, 236, 447, 217, 316, 259, 389, 448, 147, 422, 388, 182, 165, 124, 419, 345, 72, 161, 498, 275, 313, 439, 197, 36, 24, 387, 478, 144, 123, 173, 7, 383, 175, 245, 433, 66, 251, 324, 425"
ssp119,2025,2035,0.51505923,0.54,"216, 62, 326, 313, 125, 396, 483, 405, 269, 295, 91, 441, 287, 16, 406, 247, 492, 133, 251, 363, 135, 344, 472, 82, 283, 203, 52, 123, 293, 144, 455, 264, 1, 453, 213, 431, 217, 412, 253, 325, 427, 13, 393, 414, 75, 160, 289, 390, 156, 146"
ssp119,2025,2045,0.41981018,0.52,"285, 479, 308, 38, 231, 332, 475, 44, 493, 65, 225, 462, 443, 266, 296, 288, 342, 428, 88, 263, 123, 311, 227, 36, 79, 301, 474, 40, 33, 441, 178, 366, 67, 362, 238, 401, 49, 483, 376, 284, 210, 425, 86, 186, 25, 451, 353, 494, 349, 109"
ssp119,2025,2055,0.5599971,0.58,"483, 352, 378, 417, 250, 157, 221, 447, 332, 307, 194, 437, 351, 418, 403, 337, 454, 267, 490, 330, 462, 94, 34, 22, 100, 162, 442, 393, 57, 408, 290, 214, 302, 119, 62, 145, 9, 98, 125, 402, 453, 69, 360, 419, 273, 308, 311, 55, 253, 497"
