scenario,early_yr,late_yr,mean_pred,accuracy,test_indices
ssp119,2015,2025,0.4766891,0.78,"296, 465, 155, 10, 128, 484, 483, 61, 39, 55, 143, 293, 53, 300, 489, 184, 447, 110, 482, 328, 423, 34, 151, 436, 453, 231, 261, 230, 217, 201, 329, 477, 26, 492, 157, 173, 272, 57, 277, 340, 326, 425, 387, 32, 413, 431, 259, 174, 318, 402"
ssp119,2015,2035,0.47749788,0.94,"280, 356, 288, 308, 489, 305, 65, 57, 4, 89, 208, 436, 111, 440, 359, 306, 45, 213, 121, 409, 319, 290, 325, 486, 71, 317, 130, 171, 113, 222, 246, 478, 252, 390, 456, 225, 318, 262, 431, 394, 80, 352, 419, 95, 168, 119, 28, 354, 399, 482"
ssp119,2015,2045,0.46479854,0.96,"116, 393, 202, 411, 274, 41, 101, 75, 207, 35, 438, 5, 458, 126, 279, 199, 366, 478, 338, 234, 210, 402, 113, 483, 340, 11, 67, 389, 46, 28, 72, 354, 369, 167, 270, 415, 240, 253, 107, 291, 192, 432, 188, 106, 457, 470, 278, 271, 433, 269"
ssp119,2015,2055,0.53499514,0.96,"458, 305, 298, 180, 141, 359, 69, 331, 476, 351, 490, 127, 81, 345, 103, 189, 196, 446, 416, 114, 326, 464, 241, 19, 36, 135, 64, 286, 364, 293, 352, 34, 49, 162, 435, 230, 454, 432, 461, 314, 186, 402, 333, 344, 195, 152, 463, 138, 10, 397"
ssp119,2015,2065,0.6126322,0.64,"31, 451, 73, 233, 57, 14, 284, 128, 266, 42, 91, 184, 67, 368, 393, 162, 307, 39, 442, 495, 178, 428, 224, 100, 275, 456, 30, 121, 236, 32, 364, 25, 437, 255, 286, 395, 216, 259, 180, 212, 422, 130, 277, 387, 168, 136, 113, 476, 403, 328"
ssp119,2015,2075,0.4814238,0.9,"73, 468, 401, 379, 411, 165, 291, 354, 149, 345, 408, 138, 284, 444, 46, 126, 373, 402, 414, 352, 156, 437, 238, 173, 432, 182, 159, 10, 102, 213, 285, 255, 280, 77, 113, 49, 357, 178, 202, 52, 170, 237, 83, 76, 431, 87, 231, 50, 348, 1"
ssp119,2015,2085,0.490671,0.98,"223, 48, 371, 265, 438, 336, 25, 361, 391, 331, 38, 124, 327, 464, 411, 461, 492, 105, 384, 278, 205, 462, 319, 190, 27, 288, 47, 299, 454, 385, 197, 125, 109, 31, 322, 181, 304, 178, 93, 136, 73, 134, 277, 213, 194, 474, 443, 255, 489, 431"
ssp119,2025,2035,0.47671422,0.48,"203, 36, 59, 155, 172, 113, 266, 372, 100, 442, 164, 334, 66, 39, 292, 247, 264, 162, 165, 378, 382, 238, 356, 110, 94, 354, 244, 325, 426, 15, 350, 17, 438, 494, 434, 6, 345, 54, 1, 360, 316, 76, 233, 142, 80, 257, 245, 161, 440, 187"
ssp119,2025,2045,0.49646735,0.72,"423, 256, 88, 494, 419, 317, 330, 202, 249, 373, 174, 388, 276, 217, 467, 336, 374, 300, 429, 274, 316, 350, 163, 353, 306, 218, 224, 470, 71, 131, 171, 290, 308, 37, 51, 277, 401, 148, 447, 104, 407, 1, 199, 376, 183, 134, 166, 126, 397, 395"
ssp119,2025,2055,0.37158802,0.66,"290, 16, 331, 153, 55, 486, 306, 380, 56, 160, 150, 43, 223, 105, 364, 110, 196, 62, 430, 332, 490, 95, 236, 497, 429, 99, 487, 314, 389, 447, 84, 338, 406, 433, 227, 466, 116, 302, 126, 180, 183, 384, 234, 496, 431, 307, 83, 7, 29, 255"
ssp119,2025,2065,0.50380033,0.98,"482, 414, 459, 53, 223, 164, 78, 140, 351, 33, 321, 299, 176, 302, 285, 314, 323, 253, 436, 381, 320, 354, 348, 258, 115, 35, 424, 418, 16, 286, 118, 497, 319, 81, 91, 360, 490, 480, 235, 95, 364, 29, 10, 7, 227, 355, 243, 207, 150, 298"
ssp119,2025,2075,0.48847017,0.92,"199, 435, 388, 11, 29, 176, 490, 147, 298, 327, 303, 302, 272, 2, 246, 129, 15, 315, 404, 481, 282, 323, 498, 157, 66, 402, 452, 32, 198, 98, 420, 126, 376, 297, 170, 476, 493, 414, 121, 69, 293, 242, 23, 485, 30, 83, 233, 183, 248, 264"
ssp119,2025,2085,0.4412449,0.9,"235, 160, 358, 165, 31, 437, 310, 257, 296, 480, 4, 299, 425, 404, 418, 117, 214, 285, 277, 262, 201, 198, 37, 64, 215, 236, 63, 436, 207, 331, 306, 59, 307, 251, 83, 477, 264, 410, 429, 329, 271, 169, 350, 46, 490, 378, 275, 139, 91, 247"
ssp119,2035,2045,0.5310872,0.6,"28, 216, 399, 338, 43, 183, 458, 178, 480, 1, 21, 402, 176, 0, 373, 179, 427, 306, 453, 52, 91, 445, 83, 201, 351, 117, 485, 289, 33, 29, 96, 116, 398, 41, 367, 385, 221, 301, 335, 66, 285, 371, 65, 238, 26, 439, 277, 50, 112, 46"
ssp119,2035,2055,0.50082856,0.92,"332, 246, 101, 271, 35, 323, 19, 413, 317, 477, 383, 419, 158, 188, 52, 409, 217, 119, 457, 277, 92, 211, 363, 416, 124, 493, 43, 429, 479, 460, 195, 310, 183, 181, 48, 427, 489, 250, 295, 380, 415, 203, 220, 495, 355, 26, 300, 275, 176, 194"
ssp119,2035,2065,0.5654433,0.84,"447, 36, 188, 437, 168, 238, 459, 179, 156, 220, 335, 401, 161, 199, 445, 5, 391, 247, 163, 118, 497, 93, 80, 405, 268, 254, 444, 42, 489, 139, 483, 416, 194, 313, 102, 61, 214, 442, 160, 51, 83, 31, 346, 361, 281, 28, 217, 463, 229, 284"
ssp119,2035,2075,0.45102406,0.9,"462, 226, 128, 213, 293, 289, 411, 303, 488, 362, 389, 208, 69, 100, 135, 225, 476, 75, 206, 328, 477, 55, 403, 336, 298, 370, 50, 52, 164, 122, 363, 316, 43, 207, 308, 251, 310, 86, 359, 449, 320, 26, 188, 160, 201, 190, 376, 97, 144, 337"
ssp119,2035,2085,0.5295577,0.92,"259, 278, 301, 75, 221, 354, 466, 312, 249, 8, 140, 158, 330, 289, 452, 300, 151, 40, 236, 367, 307, 469, 462, 232, 361, 49, 405, 116, 382, 372, 2, 164, 461, 450, 490, 326, 68, 435, 112, 10, 317, 213, 242, 437, 474, 292, 185, 425, 161, 165"
ssp119,2045,2055,0.5623661,0.7,"144, 297, 405, 346, 67, 287, 360, 113, 469, 288, 166, 267, 499, 92, 347, 64, 440, 237, 177, 416, 1, 160, 404, 330, 154, 212, 275, 228, 445, 192, 399, 211, 84, 204, 190, 314, 87, 23, 147, 227, 366, 45, 304, 94, 338, 229, 450, 198, 33, 259"
ssp119,2045,2065,0.48285896,0.74,"356, 423, 455, 18, 442, 354, 157, 148, 253, 92, 418, 27, 172, 349, 74, 340, 217, 3, 56, 492, 46, 299, 66, 402, 398, 23, 262, 390, 289, 112, 132, 370, 29, 100, 127, 126, 55, 5, 408, 321, 104, 498, 181, 76, 90, 331, 488, 234, 194, 265"
ssp119,2045,2075,0.46345463,0.54,"424, 168, 62, 287, 454, 169, 312, 176, 309, 152, 243, 135, 319, 50, 35, 203, 471, 257, 73, 8, 299, 137, 126, 122, 49, 336, 47, 205, 459, 398, 293, 225, 288, 119, 93, 27, 396, 478, 113, 75, 434, 29, 134, 492, 51, 196, 39, 269, 236, 52"
