scenario,early_yr,late_yr,mean_pred,accuracy,test_indices
ssp119,2015,2025,0.45547917,0.88,"154, 399, 112, 372, 165, 358, 115, 391, 161, 131, 344, 111, 11, 335, 375, 416, 229, 237, 462, 459, 167, 288, 408, 361, 216, 26, 205, 199, 150, 211, 280, 425, 152, 140, 311, 247, 461, 157, 292, 109, 174, 222, 180, 329, 385, 327, 330, 320, 359, 164"
ssp119,2015,2035,0.5018948,1.0,"402, 124, 307, 42, 169, 377, 435, 99, 146, 47, 469, 195, 116, 387, 466, 172, 340, 335, 327, 330, 267, 405, 220, 436, 484, 90, 374, 65, 75, 276, 369, 399, 460, 279, 479, 109, 196, 120, 357, 426, 102, 129, 227, 166, 115, 52, 106, 232, 404, 72"
ssp119,2015,2045,0.50753903,0.98,"105, 460, 266, 126, 158, 296, 396, 345, 322, 146, 37, 122, 123, 0, 385, 28, 134, 144, 480, 360, 436, 73, 20, 273, 301, 156, 223, 390, 300, 365, 261, 387, 283, 230, 444, 135, 40, 249, 373, 341, 337, 71, 88, 98, 54, 370, 6, 478, 383, 290"
ssp119,2015,2055,0.5166772,0.98,"125, 136, 460, 287, 329, 76, 388, 2, 176, 221, 289, 158, 451, 39, 147, 494, 142, 3, 398, 464, 16, 202, 90, 236, 331, 478, 337, 282, 450, 116, 233, 21, 196, 179, 305, 252, 413, 324, 198, 377, 281, 311, 267, 343, 245, 69, 32, 292, 297, 215"
ssp119,2015,2065,0.5105496,0.98,"221, 452, 327, 153, 290, 41, 22, 251, 387, 332, 144, 351, 430, 84, 162, 117, 177, 87, 453, 405, 103, 114, 203, 449, 265, 105, 253, 264, 231, 119, 352, 65, 39, 204, 94, 197, 399, 270, 229, 173, 308, 142, 455, 61, 130, 44, 12, 206, 491, 278"
ssp119,2015,2075,0.5150692,0.98,"330, 303, 157, 92, 315, 107, 89, 427, 116, 352, 239, 422, 122, 416, 258, 175, 361, 465, 337, 167, 260, 37, 434, 174, 119, 355, 394, 499, 494, 204, 244, 14, 409, 209, 178, 75, 61, 309, 63, 445, 101, 357, 426, 253, 15, 164, 472, 190, 363, 327"
ssp119,2015,2085,0.4854308,0.98,"227, 89, 396, 186, 381, 313, 440, 416, 215, 453, 233, 128, 108, 478, 328, 118, 363, 182, 311, 105, 295, 304, 432, 472, 361, 4, 391, 375, 179, 14, 221, 71, 402, 475, 289, 393, 348, 485, 376, 196, 249, 296, 484, 316, 47, 150, 173, 125, 131, 231"
ssp119,2025,2035,0.46903315,0.52,"139, 242, 125, 115, 44, 440, 33, 34, 442, 21, 356, 355, 205, 322, 267, 354, 209, 350, 292, 244, 121, 46, 151, 223, 421, 315, 422, 454, 484, 391, 175, 218, 279, 251, 96, 164, 48, 50, 193, 13, 88, 76, 389, 478, 221, 398, 217, 494, 55, 299"
ssp119,2025,2045,0.4416726,0.78,"284, 228, 313, 447, 30, 117, 271, 336, 69, 98, 39, 131, 268, 497, 291, 137, 245, 174, 461, 440, 184, 177, 181, 259, 488, 109, 51, 306, 67, 9, 218, 24, 275, 211, 335, 173, 192, 453, 477, 198, 435, 91, 50, 7, 74, 133, 348, 29, 136, 141"
ssp119,2025,2055,0.49505326,0.86,"81, 303, 193, 249, 330, 414, 172, 295, 275, 343, 270, 44, 463, 280, 1, 365, 11, 403, 350, 187, 319, 203, 302, 369, 15, 299, 405, 30, 430, 125, 41, 240, 51, 456, 95, 490, 422, 70, 7, 250, 400, 42, 446, 13, 298, 181, 460, 69, 255, 265"
ssp119,2025,2065,0.45347172,1.0,"436, 10, 147, 132, 474, 118, 158, 340, 413, 12, 316, 418, 319, 354, 145, 35, 94, 414, 368, 305, 302, 65, 488, 190, 334, 480, 259, 187, 129, 8, 345, 148, 71, 454, 456, 78, 309, 38, 369, 371, 54, 341, 172, 477, 450, 178, 195, 275, 70, 206"
ssp119,2025,2075,0.53078115,0.86,"349, 17, 184, 381, 359, 71, 207, 383, 79, 47, 288, 157, 334, 384, 468, 498, 238, 372, 236, 23, 13, 137, 135, 333, 139, 291, 316, 362, 32, 39, 206, 169, 271, 104, 287, 451, 274, 212, 28, 332, 119, 410, 165, 230, 53, 279, 261, 132, 256, 62"
ssp119,2025,2085,0.5147927,0.98,"450, 53, 140, 139, 354, 249, 166, 433, 183, 178, 194, 113, 248, 294, 216, 46, 143, 355, 434, 476, 31, 397, 472, 162, 272, 169, 381, 426, 342, 159, 451, 379, 387, 324, 340, 440, 419, 243, 375, 300, 37, 258, 270, 271, 200, 321, 22, 252, 214, 332"
ssp119,2035,2045,0.5273292,0.52,"353, 131, 81, 172, 285, 444, 305, 314, 159, 117, 178, 175, 481, 112, 400, 157, 209, 61, 70, 324, 26, 449, 496, 20, 290, 177, 391, 217, 344, 479, 42, 283, 15, 129, 204, 122, 92, 419, 499, 296, 378, 493, 95, 428, 410, 362, 416, 426, 309, 386"
ssp119,2035,2055,0.48918712,0.78,"206, 277, 241, 498, 488, 373, 464, 358, 52, 123, 58, 35, 45, 178, 114, 463, 342, 286, 34, 381, 270, 485, 129, 327, 107, 176, 316, 99, 380, 440, 408, 22, 394, 198, 419, 141, 301, 79, 378, 262, 113, 470, 65, 340, 370, 145, 448, 137, 247, 306"
ssp119,2035,2065,0.4833557,0.78,"400, 468, 220, 11, 386, 406, 51, 322, 320, 292, 259, 445, 461, 190, 434, 60, 2, 52, 46, 74, 330, 324, 303, 210, 85, 379, 178, 117, 77, 42, 362, 163, 90, 484, 240, 471, 282, 141, 436, 407, 349, 233, 351, 499, 353, 56, 302, 27, 151, 438"
ssp119,2035,2075,0.5177109,0.96,"306, 356, 321, 387, 480, 178, 485, 399, 160, 391, 447, 133, 214, 56, 412, 406, 126, 67, 463, 165, 125, 450, 193, 434, 35, 175, 431, 183, 142, 453, 162, 339, 145, 460, 161, 233, 163, 363, 128, 277, 471, 444, 223, 403, 134, 437, 432, 416, 23, 84"
ssp119,2035,2085,0.42400867,0.9,"186, 410, 409, 235, 130, 418, 169, 356, 272, 452, 131, 226, 88, 493, 434, 269, 196, 296, 258, 280, 341, 146, 260, 15, 328, 490, 90, 411, 301, 237, 41, 250, 305, 390, 94, 25, 159, 472, 367, 361, 357, 102, 320, 101, 52, 312, 148, 3, 330, 82"
ssp119,2045,2055,0.6350447,0.54,"79, 441, 368, 339, 36, 238, 369, 76, 440, 124, 429, 361, 216, 72, 373, 109, 343, 380, 270, 247, 241, 33, 319, 363, 275, 5, 233, 245, 481, 89, 489, 192, 52, 285, 0, 462, 304, 104, 263, 253, 375, 111, 201, 335, 471, 290, 286, 23, 273, 320"
ssp119,2045,2065,0.5047258,0.76,"396, 162, 216, 28, 420, 208, 199, 377, 343, 352, 232, 452, 433, 370, 49, 425, 81, 161, 285, 311, 44, 419, 295, 23, 77, 392, 447, 104, 464, 264, 202, 302, 274, 222, 355, 86, 134, 230, 320, 496, 307, 362, 91, 405, 418, 102, 62, 489, 52, 473"
ssp119,2045,2075,0.4617143,0.74,"441, 144, 204, 406, 339, 153, 77, 362, 293, 408, 344, 48, 60, 54, 206, 294, 213, 338, 335, 47, 145, 170, 300, 182, 10, 40, 331, 174, 65, 275, 82, 109, 158, 70, 473, 279, 439, 477, 181, 63, 212, 407, 474, 491, 52, 4, 56, 66, 420, 120"
ssp119,2045,2085,0.54199034,0.92,"381, 438, 55, 171, 253, 26, 478, 0, 4, 499, 394, 185, 82, 280, 165, 439, 190, 242, 434, 122, 44, 294, 310, 302, 144, 296, 360, 315, 327, 450, 452, 412, 421, 72, 419, 52, 107, 53, 445, 305, 488, 281, 140, 135, 77, 287, 124, 102, 468, 424"
ssp119,2055,2065,0.48927543,0.6,"324, 1, 96, 431, 103, 127, 92, 466, 241, 242, 305, 0, 484, 439, 95, 13, 435, 456, 448, 360, 287, 450, 350, 74, 210, 340, 404, 476, 117, 254, 85, 493, 341, 138, 99, 388, 126, 486, 395, 459, 438, 426, 276, 363, 315, 354, 101, 480, 259, 113"
ssp119,2055,2075,0.51669025,0.66,"207, 365, 100, 199, 226, 212, 249, 45, 92, 367, 459, 268, 227, 395, 234, 466, 21, 303, 48, 175, 358, 8, 85, 52, 384, 108, 440, 228, 491, 77, 278, 290, 95, 115, 327, 128, 12, 43, 372, 70, 356, 441, 492, 306, 253, 101, 225, 109, 163, 468"
ssp119,2055,2085,0.51665896,0.86,"133, 434, 12, 314, 96, 29, 124, 263, 419, 363, 75, 249, 369, 335, 417, 145, 497, 212, 203, 468, 185, 462, 175, 350, 295, 322, 424, 281, 254, 348, 356, 260, 213, 8, 94, 134, 343, 273, 44, 448, 172, 365, 158, 391, 426, 443, 297, 178, 398, 41"
ssp119,2065,2075,0.57519454,0.74,"272, 177, 361, 406, 123, 391, 232, 65, 405, 164, 399, 180, 99, 498, 433, 41, 302, 152, 55, 329, 108, 111, 115, 63, 340, 3, 324, 314, 362, 153, 288, 346, 261, 48, 184, 339, 318, 73, 489, 337, 239, 130, 414, 253, 59, 481, 105, 490, 265, 20"
ssp119,2065,2085,0.51922476,0.66,"197, 498, 319, 167, 180, 275, 441, 359, 212, 292, 179, 71, 201, 496, 357, 409, 270, 361, 64, 119, 466, 232, 240, 436, 489, 393, 332, 215, 370, 173, 202, 467, 444, 208, 203, 134, 84, 154, 443, 431, 47, 24, 230, 45, 396, 335, 293, 113, 21, 461"
ssp119,2075,2085,0.43657485,0.58,"384, 87, 209, 95, 313, 371, 279, 391, 163, 29, 312, 173, 427, 45, 77, 115, 449, 488, 210, 123, 16, 237, 421, 85, 489, 454, 486, 47, 485, 215, 227, 341, 151, 200, 303, 394, 81, 374, 291, 216, 73, 138, 417, 493, 352, 122, 120, 271, 368, 15"
ssp126,2015,2025,0.42389542,0.78,"197, 282, 254, 96, 447, 22, 133, 392, 357, 23, 65, 333, 159, 62, 386, 132, 168, 314, 134, 142, 375, 383, 17, 103, 387, 438, 362, 482, 238, 46, 281, 144, 154, 350, 334, 5, 423, 83, 102, 478, 106, 305, 184, 453, 73, 182, 114, 213, 416, 316"
ssp126,2015,2035,0.50134283,1.0,"99, 59, 191, 233, 66, 354, 10, 395, 455, 397, 318, 257, 423, 12, 142, 184, 38, 412, 327, 394, 383, 302, 310, 458, 13, 137, 330, 349, 261, 185, 234, 87, 170, 324, 115, 352, 346, 219, 105, 90, 363, 260, 353, 436, 21, 379, 250, 270, 415, 232"
ssp126,2015,2045,0.4957401,1.0,"308, 316, 77, 33, 307, 221, 113, 94, 344, 261, 314, 237, 320, 89, 3, 85, 56, 335, 27, 367, 362, 193, 0, 249, 157, 272, 382, 324, 497, 170, 419, 485, 469, 372, 175, 434, 213, 74, 203, 240, 410, 197, 174, 431, 349, 42, 179, 177, 81, 279"
ssp126,2015,2055,0.5003708,1.0,"134, 199, 198, 48, 484, 213, 103, 280, 336, 451, 427, 419, 404, 413, 178, 380, 27, 398, 312, 493, 385, 257, 221, 342, 341, 72, 149, 202, 372, 311, 51, 79, 55, 375, 264, 480, 245, 166, 390, 157, 226, 354, 148, 489, 335, 115, 227, 101, 123, 174"
ssp126,2015,2065,0.50179744,1.0,"51, 187, 387, 141, 448, 235, 41, 471, 201, 173, 289, 233, 293, 465, 230, 393, 373, 433, 237, 416, 180, 402, 389, 142, 155, 270, 200, 403, 138, 300, 440, 193, 13, 210, 469, 359, 143, 430, 267, 487, 421, 496, 84, 350, 47, 116, 375, 307, 382, 497"
ssp126,2015,2075,0.4929554,1.0,"314, 47, 376, 416, 276, 333, 48, 54, 108, 490, 289, 184, 52, 313, 383, 157, 378, 208, 247, 426, 304, 486, 475, 291, 143, 145, 8, 191, 204, 164, 267, 155, 29, 158, 323, 99, 234, 86, 63, 233, 100, 103, 38, 414, 455, 116, 422, 487, 80, 283"
ssp126,2015,2085,0.49998176,1.0,"335, 50, 256, 171, 312, 493, 416, 38, 249, 118, 458, 265, 350, 262, 475, 92, 400, 94, 234, 486, 177, 218, 309, 384, 143, 430, 71, 258, 459, 467, 469, 421, 368, 7, 23, 329, 316, 302, 210, 149, 142, 145, 282, 188, 168, 242, 432, 439, 492, 89"
ssp126,2025,2035,0.5605999,0.82,"53, 485, 148, 141, 280, 75, 144, 84, 241, 29, 403, 475, 96, 123, 114, 348, 363, 52, 42, 161, 274, 160, 418, 243, 354, 108, 31, 158, 132, 82, 103, 173, 185, 427, 407, 28, 235, 177, 413, 315, 110, 59, 488, 314, 164, 381, 328, 391, 159, 156"
ssp126,2025,2045,0.5465249,0.94,"189, 331, 437, 366, 179, 412, 104, 1, 182, 186, 114, 496, 401, 329, 261, 23, 144, 192, 268, 389, 246, 345, 498, 158, 453, 191, 414, 55, 297, 27, 484, 197, 13, 100, 440, 310, 183, 452, 492, 380, 185, 126, 341, 426, 84, 242, 432, 411, 285, 223"
ssp126,2025,2055,0.4903223,0.96,"239, 37, 370, 255, 20, 470, 46, 226, 223, 464, 91, 488, 330, 125, 269, 247, 95, 254, 187, 133, 454, 64, 15, 169, 71, 67, 426, 256, 429, 257, 8, 193, 50, 393, 199, 154, 198, 147, 404, 262, 92, 131, 142, 103, 212, 40, 123, 433, 334, 419"
ssp126,2025,2065,0.4955604,1.0,"391, 220, 205, 239, 70, 139, 361, 283, 2, 77, 236, 163, 260, 317, 114, 218, 248, 235, 189, 320, 416, 99, 171, 487, 208, 322, 453, 15, 102, 118, 356, 188, 82, 302, 135, 147, 255, 480, 27, 240, 37, 397, 375, 485, 85, 365, 63, 33, 92, 486"
ssp126,2025,2075,0.49528217,0.94,"313, 133, 318, 62, 136, 45, 165, 316, 58, 142, 475, 361, 226, 172, 46, 205, 26, 439, 220, 497, 405, 499, 422, 53, 469, 168, 453, 300, 180, 264, 153, 372, 193, 404, 198, 408, 135, 212, 302, 472, 418, 481, 177, 242, 286, 164, 82, 445, 353, 314"
ssp126,2025,2085,0.54725283,0.82,"363, 331, 108, 437, 306, 124, 16, 385, 432, 304, 130, 343, 174, 279, 139, 373, 7, 308, 395, 47, 168, 193, 212, 118, 93, 386, 379, 303, 4, 105, 288, 67, 176, 45, 468, 250, 344, 190, 458, 209, 119, 297, 255, 454, 182, 316, 368, 491, 128, 486"
ssp126,2035,2045,0.53505635,0.54,"150, 96, 365, 299, 259, 412, 126, 172, 431, 390, 336, 261, 320, 486, 71, 228, 409, 472, 121, 106, 382, 408, 182, 8, 423, 56, 23, 173, 184, 269, 392, 323, 180, 362, 262, 127, 367, 168, 107, 41, 143, 105, 95, 444, 242, 309, 35, 300, 246, 462"
ssp126,2035,2055,0.47851524,0.88,"0, 399, 321, 457, 184, 1, 343, 255, 91, 64, 348, 153, 180, 394, 289, 375, 459, 122, 27, 18, 322, 344, 50, 244, 479, 278, 346, 48, 358, 53, 191, 306, 45, 138, 190, 234, 446, 491, 319, 116, 238, 105, 195, 251, 60, 59, 359, 123, 134, 415"
ssp126,2035,2065,0.56156766,0.96,"14, 414, 248, 206, 432, 218, 446, 24, 42, 482, 325, 394, 281, 77, 279, 311, 236, 29, 179, 464, 240, 34, 438, 124, 3, 392, 306, 291, 476, 153, 491, 186, 199, 385, 31, 452, 228, 134, 264, 155, 351, 364, 458, 110, 165, 20, 50, 169, 41, 157"
