scenario,early_yr,late_yr,mean_pred
ssp119,2015,2025,0.42204964
ssp119,2015,2035,0.49820292
ssp119,2015,2045,0.65525675
ssp119,2015,2055,0.53648084
ssp119,2015,2065,0.5638885
ssp119,2015,2075,0.5093773
ssp119,2015,2085,0.51914847
ssp119,2025,2035,0.6056764
ssp119,2025,2045,0.5242926
ssp119,2025,2055,0.5431207
ssp119,2025,2065,0.52932954
ssp119,2025,2075,0.5074796
ssp119,2025,2085,0.49712306
ssp119,2035,2045,0.52893645
ssp119,2035,2055,0.51729774
ssp119,2035,2065,0.38871953
ssp119,2035,2075,0.45190448
ssp119,2035,2085,0.44807255
ssp119,2045,2055,0.56328833
ssp119,2045,2065,0.44610995
ssp119,2045,2075,0.5039402
ssp119,2045,2085,0.56463027
ssp119,2055,2065,0.52514803
ssp119,2055,2075,0.4037085
ssp119,2055,2085,0.48809007
ssp119,2065,2075,0.55805665
ssp119,2065,2085,0.5140793
ssp119,2075,2085,0.49501035
ssp126,2015,2025,0.50079936
ssp126,2015,2035,0.5383851
ssp126,2015,2045,0.44961303
ssp126,2015,2055,0.50236535
ssp126,2015,2065,0.6838723
ssp126,2015,2075,0.49428603
ssp126,2015,2085,0.50136787
ssp126,2025,2035,0.5069777
ssp126,2025,2045,0.555944
ssp126,2025,2055,0.4460115
ssp126,2025,2065,0.50647753
ssp126,2025,2075,0.61116594
ssp126,2025,2085,0.5006464
ssp126,2035,2045,0.47353333
ssp126,2035,2055,0.5367797
ssp126,2035,2065,0.4793795
ssp126,2035,2075,0.6452982
ssp126,2035,2085,0.51798064
ssp126,2045,2055,0.5511784
ssp126,2045,2065,0.5097485
ssp126,2045,2075,0.5387021
ssp126,2045,2085,0.47845012
ssp126,2055,2065,0.52346265
ssp126,2055,2075,0.55480653
ssp126,2055,2085,0.6376213
ssp126,2065,2075,0.50979173
ssp126,2065,2085,0.52987504
ssp126,2075,2085,0.5012091
