scenario,early,late,mean_pred
ssp119,2015,2025,0.4140377
ssp119,2015,2035,0.6250257
ssp119,2015,2045,0.541735
ssp119,2015,2055,0.44903836
ssp119,2015,2065,0.7410764
ssp119,2015,2075,0.5519489
ssp119,2015,2085,0.4904946
ssp119,2025,2035,0.49486455
ssp119,2025,2045,0.57491577
ssp119,2025,2055,0.5262294
ssp119,2025,2065,0.5558997
ssp119,2025,2075,0.5252143
ssp119,2025,2085,0.50502086
ssp119,2035,2045,0.543641
ssp119,2035,2055,0.4216181
ssp119,2035,2065,0.6385343
ssp119,2035,2075,0.5943937
ssp119,2035,2085,0.4926646
ssp119,2045,2055,0.5661167
ssp119,2045,2065,0.63053566
ssp119,2045,2075,0.4764322
ssp119,2045,2085,0.48805302
ssp119,2055,2065,0.5173079
ssp119,2055,2075,0.57863486
ssp119,2055,2085,0.49690834
ssp119,2065,2075,0.44104177
ssp119,2065,2085,0.5124289
ssp119,2075,2085,0.555761
ssp126,2015,2025,0.44776875
ssp126,2015,2035,0.47339493
ssp126,2015,2045,0.46181786
ssp126,2015,2055,0.56
ssp126,2015,2065,0.49999887
ssp126,2015,2075,0.58
ssp126,2015,2085,0.7377963
ssp126,2025,2035,0.5232109
ssp126,2025,2045,0.5258248
ssp126,2025,2055,0.50744605
ssp126,2025,2065,0.39984077
ssp126,2025,2075,0.5738424
ssp126,2025,2085,0.4982313
ssp126,2035,2045,0.566963
ssp126,2035,2055,0.5205934
ssp126,2035,2065,0.4181797
ssp126,2035,2075,0.4262014
ssp126,2035,2085,0.48006517
ssp126,2045,2055,0.42826653
ssp126,2045,2065,0.5420547
ssp126,2045,2075,0.4906111
ssp126,2045,2085,0.43067336
ssp126,2055,2065,0.504369
ssp126,2055,2075,0.4029203
ssp126,2055,2085,0.76173425
ssp126,2065,2075,0.51911426
ssp126,2065,2085,0.52465105
ssp126,2075,2085,0.49638596
ssp119,2015,2025,0.51538444
ssp119,2015,2035,0.4983192
ssp119,2015,2045,0.5744276
ssp119,2015,2055,0.40726134
ssp119,2015,2065,0.5235109
ssp119,2015,2075,0.5412402
ssp119,2015,2085,0.49617225
ssp119,2025,2035,0.42304194
ssp119,2025,2045,0.53679955
ssp119,2025,2055,0.53034276
ssp119,2025,2065,0.48538852
ssp119,2025,2075,0.59605676
ssp119,2025,2085,0.543072
ssp119,2035,2045,0.50539035
ssp119,2035,2055,0.47028565
ssp119,2035,2065,0.4590019
ssp119,2035,2075,0.62568367
ssp119,2035,2085,0.6446994
ssp119,2045,2055,0.5279334
ssp119,2045,2065,0.48009208
ssp119,2045,2075,0.4749708
ssp119,2045,2085,0.46084136
ssp119,2055,2065,0.52104616
ssp119,2055,2075,0.49409354
ssp119,2055,2085,0.5064473
ssp119,2065,2075,0.50651693
ssp119,2065,2085,0.49579182
ssp119,2075,2085,0.50097436
ssp126,2015,2025,0.5489565
ssp126,2015,2035,0.4554845
ssp126,2015,2045,0.52553034
ssp126,2015,2055,0.48688307
ssp126,2015,2065,0.47982156
ssp126,2015,2075,0.4981508
ssp126,2015,2085,0.6676423
ssp126,2025,2035,0.52728915
ssp126,2025,2045,0.49544495
ssp126,2025,2055,0.5613471
ssp126,2025,2065,0.48661286
ssp126,2025,2075,0.6582787
ssp126,2025,2085,0.5304937
ssp126,2035,2045,0.48468834
ssp126,2035,2055,0.5454115
ssp126,2035,2065,0.46176678
ssp126,2035,2075,0.47965148
ssp126,2035,2085,0.4984172
ssp126,2045,2055,0.4987525
ssp126,2045,2065,0.54499024
ssp126,2045,2075,0.5131771
ssp126,2045,2085,0.51647794
ssp126,2055,2065,0.50574934
ssp126,2055,2075,0.45283395
ssp126,2055,2085,0.5226688
ssp126,2065,2075,0.5143966
ssp126,2065,2085,0.53697664
ssp126,2075,2085,0.49049544
